106
-3318143302281789/1125899906842624 5331717442982703/562949953421312 -7416192081595621/562949953421312 6210883617091553/1125899906842624
-4963034853840283/1125899906842624 334118596410319/35184372088832 1005014557902657/70368744177664 439583087054425/70368744177664
1885953244459307/140737488355328 4693612961774667/562949953421312 1005014557902657/70368744177664 -5303357243817901/562949953421312
1075915055814661/70368744177664 -2169555236107323/281474976710656 -1318749261163275/140737488355328 -4424191069709051/562949953421312
-7373651782848419/562949953421312 7373651782848419/1125899906842624 -6125803019597149/1125899906842624 -2665858721491351/281474976710656
-4665252762609865/562949953421312 2587868173788147/281474976710656 -2438977128172939/562949953421312 8224457757792469/2251799813685248
-8564780147770087/1125899906842624 5048115451334687/1125899906842624 -5445158239641959/72057594037927936 5785480629619529/1125899906842624
-8167737359462867/4503599627370496 7373651782848419/1125899906842624 -2892740314809765/1125899906842624 709004979120041/1125899906842624
-4651072663027467/4503599627370496 7260210986189215/4503599627370496 -1949763692580111/281474976710656 1347109460328077/562949953421312
-967791796498855/140737488355328 1425100008031281/281474976710656 -2864380115644963/562949953421312 5445158239641935/36028797018963968
3162162206875379/562949953421312 2446067177964139/281474976710656 4537631866368257/1125899906842624 3459944298105797/1125899906842624
1573991053646489/562949953421312 1212398514295269/281474976710656 4495091567621055/562949953421312 6125803019597149/2251799813685248
7884135367814847/1125899906842624 3913707484742623/1125899906842624 7487092579507623/2251799813685248 7260210986189219/9007199254740992
971336821394455/281474976710656 5360077642147505/1125899906842624 1396739808866479/281474976710656 3176342306457793/18014398509481984
6508665708321969/562949953421312 8734941342758897/1125899906842624 1428645032926881/140737488355328 -17725124478001/8796093022208
3509574646644199/281474976710656 -5218276646323495/2251799813685248 8876742338582903/1125899906842624 4764513459686677/9007199254740992
4424191069709051/562949953421312 -1184038315130467/281474976710656 2736759219403355/281474976710656 3176342306457787/9007199254740992
7033329392870799/1125899906842624 -7260210986189211/2251799813685248 829535825570447/70368744177664 -1006787070350457/281474976710656
2878560215227363/281474976710656 -5842201027949131/1125899906842624 3686825891424209/281474976710656 5445158239641911/2251799813685248
-5104835849664291/1125899906842624 7685613973661237/1125899906842624 8167737359462851/18014398509481984 1871773144876907/1125899906842624
-2041934339865719/4503599627370496 -2453157227755339/281474976710656 -1247848763251271/281474976710656 -7373651782848415/4503599627370496
-5360077642147505/1125899906842624 -1219488564086469/281474976710656 3403223899776187/9007199254740992 -6466125409574765/2251799813685248
-8734941342758899/4503599627370496 -2637498522326549/1125899906842624 7260210986189187/36028797018963968 -13238452344507/2199023255552
-1843412945712105/562949953421312 -2453157227755339/281474976710656 7260210986189209/4503599627370496 -4367470671379447/1125899906842624
3091261708963375/562949953421312 -5133196048829091/562949953421312 3176342306457777/4503599627370496 7713974172826051/18014398509481984
-2722579119820967/18014398509481984 -4537631866368251/9007199254740992 5133196048829091/1125899906842624 -3289783103116985/2251799813685248
3516664696435399/1125899906842624 -3403223899776187/9007199254740992 7260210986189211/1125899906842624 -2630408472535349/281474976710656
-1283299012207273/140737488355328 5955641824608339/1125899906842624 -3502484596852999/562949953421312 -7657253774496433/2251799813685248
-2729669169612155/281474976710656 5218276646323497/1125899906842624 -4239849775137841/562949953421312 -1503090555734485/562949953421312
-5090655750081889/562949953421312 6806447799552399/18014398509481984 -7515452778672427/1125899906842624 7260210986189219/9007199254740992
-4863774156763477/562949953421312 -4083868679731419/18014398509481984 -7146770189530007/1125899906842624 -7260210986189161/72057594037927936
6125803019597145/4503599627370496 8139377160298063/1125899906842624 1474730356569683/1125899906842624 4934674654675481/1125899906842624
482123385801627/562949953421312 3431584098940995/562949953421312 6919888596211591/2251799813685248 3289783103116987/562949953421312
8167737359462851/18014398509481984 5501878637971513/1125899906842624 1786692547382501/562949953421312 7430372181178023/1125899906842624
5317537343400301/562949953421312 52732245322053/8796093022208 2807659717315359/281474976710656 4424191069709053/2251799813685248
5019755252169885/562949953421312 5274997044653101/2251799813685248 5898921426278735/562949953421312 5076475650499489/1125899906842624
4963034853840281/562949953421312 5360077642147505/1125899906842624 5516058737553913/562949953421312 297782091230417/140737488355328
4849594057181075/562949953421312 7203490587859611/2251799813685248 2942370663348167/281474976710656 3006181111468971/562949953421312
2027754240283315/281474976710656 -7146770189530005/1125899906842624 2417706978799337/281474976710656 -5813840828784329/1125899906842624
4495091567621055/562949953421312 -723185078702441/140737488355328 2694218920656153/281474976710656 -7118409990365203/1125899906842624
5317537343400301/562949953421312 -6295964214585957/1125899906842624 158639864078109/17592186044416 -7402011982013219/1125899906842624
4963034853840281/562949953421312 -6976608994541195/1125899906842624 2914010464183365/281474976710656 -7855775168650045/1125899906842624
5870561227113933/562949953421312 -6976608994541195/1125899906842624 4963034853840281/562949953421312 -8196097558627665/1125899906842624
4707793061357067/562949953421312 -3828626887248217/562949953421312 5657859733377921/562949953421312 -8281178156122069/1125899906842624
