81
38654471875/16777216 -27102895625/16777216 -186168828125/67108864 -20519815625/33554432
-597657670625/134217728 75060991875/16777216 6552165625/67108864 -11030949375/4194304
309120253125/67108864 287644519375/134217728 -328952526875/134217728 7380465625/2097152
-61274473125/134217728 150490806875/67108864 -99375826875/67108864 83790061875/16777216
160527085625/134217728 660817470625/134217728 -275756791875/67108864 454199484375/134217728
-71162326875/134217728 256551705625/134217728 -6493246875/16777216 6709400625/134217728
-164917851875/67108864 279173983125/134217728 -58617696875/16777216 -15843651875/67108864
236734709375/67108864 656668503125/134217728 10845103125/134217728 11648310625/134217728
-87610971875/134217728 -11411616875/16777216 327713720625/134217728 -92374826875/134217728
54171875625/16777216 -597425090625/134217728 -131305718125/33554432 282933060625/134217728
-21524388125/33554432 350164759375/134217728 -336785608125/134217728 10810618125/8388608
-647917055625/134217728 55431421875/33554432 -88278883125/67108864 -5358595625/16777216
-374229043125/134217728 -260749350625/67108864 -42680288125/33554432 31671285625/67108864
163304014375/67108864 3014509375/8388608 195485013125/67108864 -193377406875/67108864
140173343125/134217728 -82767849375/16777216 373283479375/134217728 -37605511875/134217728
465631646875/134217728 -299886358125/134217728 -539124188125/134217728 -597160515625/134217728
252675163125/67108864 323337914375/67108864 1443039375/2097152 -154097485625/134217728
-138434909375/33554432 -153418698125/134217728 -316484074375/67108864 270487003125/67108864
66513058125/33554432 -493525004375/134217728 -77126444375/33554432 70240576875/16777216
145138746875/67108864 -256795968125/134217728 39316875/8192 388315390625/134217728
-251633131875/67108864 -290704414375/134217728 181541379375/67108864 -188245470625/67108864
324723021875/134217728 -123696004375/67108864 32378093125/8388608 -278690071875/67108864
-165485536875/33554432 7411228125/134217728 -118693884375/134217728 314831851875/134217728
-258176649375/134217728 -21594293125/33554432 310791250625/134217728 289226884375/134217728
-370580181875/134217728 -63987574375/67108864 315771891875/67108864 76113665625/16777216
171901248125/67108864 -2208263125/67108864 -228260024375/134217728 -17093246875/8388608
-601132310625/134217728 -315245241875/134217728 91181646875/134217728 -37879604375/16777216
593660781875/134217728 -55223178125/16777216 355596364375/134217728 -490566048125/134217728
251523496875/67108864 441846446875/134217728 166059774375/134217728 24257426875/8388608
-165638655625/134217728 -5614166875/8388608 -17641859375/4194304 -158985003125/67108864
-483830758125/134217728 504882361875/134217728 -55654004375/33554432 55486399375/33554432
107517481875/134217728 -76846434375/134217728 -19703614375/8388608 -219265226875/134217728
-201634943125/67108864 -335634926875/134217728 422526765625/134217728 633644541875/134217728
467074508125/134217728 109540995625/134217728 -463360204375/134217728 187966915625/67108864
546484235625/134217728 -205555158125/67108864 300309998125/67108864 140262873125/33554432
-219030705625/67108864 347920480625/134217728 341375779375/134217728 -308795743125/67108864
32615546875/67108864 139359576875/33554432 -648715399375/134217728 147236548125/134217728
1912951875/4194304 152103969375/33554432 -5101098125/134217728 -2145985625/4194304
656556356875/134217728 -372098863125/134217728 177131349375/134217728 -29916878125/134217728
363369550625/134217728 -144599190625/67108864 -80702823125/134217728 -100313990625/33554432
-121693505625/67108864 -311204920625/67108864 524767026875/134217728 -166601318125/33554432
-23947830625/16777216 75786513125/33554432 286086413125/67108864 49663813125/16777216
-49653945625/67108864 -196316456875/134217728 44409408125/33554432 173897161875/67108864
-501507444375/134217728 214502551875/134217728 -94010403125/67108864 192030871875/134217728
109336815625/33554432 -6339044375/16777216 -304230159375/134217728 -103554050625/134217728
155596605625/67108864 -61750999375/134217728 90801580625/134217728 18913311875/134217728
230667735625/134217728 313572009375/134217728 45108581875/67108864 377368344375/134217728
-140999191875/33554432 -272809174375/67108864 -196180188125/134217728 5018673125/4194304
57427128125/67108864 60034699375/33554432 -48233303125/134217728 -27860284375/16777216
141333954375/33554432 -246414858125/67108864 212428820625/67108864 -6083075625/33554432
-2028852257953/268435456 262770484089/67108864 -1867254113441/268435456 -20898684039/67108864
-1675322762401/268435456 278742393721/67108864 -1689012970657/268435456 -25126542471/67108864
-2136763311265/268435456 215592952697/67108864 -1510503392417/268435456 227404112761/67108864
-2123341538465/268435456 74194576249/67108864 -1419503772833/268435456 184454439801/67108864
1563619449695/268435456 303975326585/67108864 2132702616415/268435456 155866063737/67108864
2031770884959/268435456 229081834361/67108864 1516643244895/268435456 5206664057/67108864
1509932358495/268435456 86005736313/67108864 2004658903903/268435456 -56265055367/67108864
1964393585503/268435456 -1571331207/67108864 1429133286239/268435456 -105925614727/67108864
1435844172639/268435456 -51231890567/67108864 1876883626847/268435456 -223768779911/67108864
1903727172447/268435456 -149680594055/67108864 1355045100383/268435456 -295306828935/67108864
1725217594207/268435456 -277657197703/67108864 1260555819871/268435456 -121964633223/67108864
1812995988319/268435456 264448205689/67108864 1829638986591/268435456 66611274617/67108864
-1490102297761/268435456 -87403568263/67108864 -2018920146081/268435456 -224641195143/67108864
-1655190103201/268435456 -303762545799/67108864 -2008719598753/268435456 -118542081159/67108864
-1631567783073/268435456 -89081289863/67108864 -1823499134113/268435456 -291951385735/67108864
