2000
0/1 113186050375/134217728 1000/1 113186050375/134217728
102970900125/268435456 0/1 102970900125/268435456 1000/1
8142862625/268435456 0/1 8142862625/268435456 1000/1
3502407875/4194304 0/1 3502407875/4194304 1000/1
0/1 118440970375/134217728 1000/1 118440970375/134217728
0/1 3745496125/268435456 1000/1 3745496125/268435456
149917275625/268435456 0/1 149917275625/268435456 1000/1
210582430125/268435456 0/1 210582430125/268435456 1000/1
32928144125/134217728 0/1 32928144125/134217728 1000/1
0/1 216932687375/268435456 1000/1 216932687375/268435456
0/1 176634125/262144 1000/1 176634125/262144
139709731125/268435456 0/1 139709731125/268435456 1000/1
0/1 112607425625/268435456 1000/1 112607425625/268435456
0/1 250145870125/268435456 1000/1 250145870125/268435456
98885091875/268435456 0/1 98885091875/268435456 1000/1
11030500875/67108864 0/1 11030500875/67108864 1000/1
0/1 1043068375/16777216 1000/1 1043068375/16777216
0/1 99198749125/268435456 1000/1 99198749125/268435456
0/1 32215245625/134217728 1000/1 32215245625/134217728
6602745625/33554432 0/1 6602745625/33554432 1000/1
0/1 1969827625/16777216 1000/1 1969827625/16777216
0/1 140507083125/268435456 1000/1 140507083125/268435456
236475025375/268435456 0/1 236475025375/268435456 1000/1
94813718125/134217728 0/1 94813718125/134217728 1000/1
248013150875/268435456 0/1 248013150875/268435456 1000/1
12110074375/67108864 0/1 12110074375/67108864 1000/1
0/1 101550964625/268435456 1000/1 101550964625/268435456
0/1 35882262875/268435456 1000/1 35882262875/268435456
179952720875/268435456 0/1 179952720875/268435456 1000/1
76397190625/268435456 0/1 76397190625/268435456 1000/1
0/1 146975307375/268435456 1000/1 146975307375/268435456
0/1 47307013875/134217728 1000/1 47307013875/134217728
0/1 53210455625/67108864 1000/1 53210455625/67108864
144570033625/268435456 0/1 144570033625/268435456 1000/1
115117725125/134217728 0/1 115117725125/134217728 1000/1
234085139875/268435456 0/1 234085139875/268435456 1000/1
156206875/33554432 0/1 156206875/33554432 1000/1
0/1 70977282125/268435456 1000/1 70977282125/268435456
0/1 19244049375/134217728 1000/1 19244049375/134217728
1248699125/33554432 0/1 1248699125/33554432 1000/1
51521834125/134217728 0/1 51521834125/134217728 1000/1
0/1 70290601625/268435456 1000/1 70290601625/268435456
0/1 264215740375/268435456 1000/1 264215740375/268435456
0/1 258758629125/268435456 1000/1 258758629125/268435456
27500890875/67108864 0/1 27500890875/67108864 1000/1
0/1 39959297375/268435456 1000/1 39959297375/268435456
204786371625/268435456 0/1 204786371625/268435456 1000/1
0/1 19008448125/268435456 1000/1 19008448125/268435456
0/1 54163791125/268435456 1000/1 54163791125/268435456
98548988375/134217728 0/1 98548988375/134217728 1000/1
48043436625/268435456 0/1 48043436625/268435456 1000/1
0/1 206770278625/268435456 1000/1 206770278625/268435456
0/1 7080660625/134217728 1000/1 7080660625/134217728
79010004375/268435456 0/1 79010004375/268435456 1000/1
77539950375/268435456 0/1 77539950375/268435456 1000/1
103377082625/134217728 0/1 103377082625/134217728 1000/1
81994878875/268435456 0/1 81994878875/268435456 1000/1
186593733875/268435456 0/1 186593733875/268435456 1000/1
0/1 15103646375/268435456 1000/1 15103646375/268435456
0/1 5645162375/8388608 1000/1 5645162375/8388608
0/1 142319603375/268435456 1000/1 142319603375/268435456
69437516375/268435456 0/1 69437516375/268435456 1000/1
111326601375/134217728 0/1 111326601375/134217728 1000/1
222876579875/268435456 0/1 222876579875/268435456 1000/1
0/1 12520911875/67108864 1000/1 12520911875/67108864
0/1 63377877625/67108864 1000/1 63377877625/67108864
0/1 1517641375/8388608 1000/1 1517641375/8388608
0/1 161378646125/268435456 1000/1 161378646125/268435456
0/1 5601178875/134217728 1000/1 5601178875/134217728
9974500125/16777216 0/1 9974500125/16777216 1000/1
22242746125/67108864 0/1 22242746125/67108864 1000/1
47782455375/67108864 0/1 47782455375/67108864 1000/1
0/1 164907895375/268435456 1000/1 164907895375/268435456
0/1 100074563125/268435456 1000/1 100074563125/268435456
0/1 9836808125/134217728 1000/1 9836808125/134217728
0/1 108085367375/134217728 1000/1 108085367375/134217728
0/1 84311603125/134217728 1000/1 84311603125/134217728
0/1 15954073875/67108864 1000/1 15954073875/67108864
0/1 17623304125/67108864 1000/1 17623304125/67108864
88499444875/134217728 0/1 88499444875/134217728 1000/1
0/1 32673165125/268435456 1000/1 32673165125/268435456
221576798875/268435456 0/1 221576798875/268435456 1000/1
0/1 120745517125/268435456 1000/1 120745517125/268435456
54465939625/67108864 0/1 54465939625/67108864 1000/1
21580964875/134217728 0/1 21580964875/134217728 1000/1
0/1 5926616875/268435456 1000/1 5926616875/268435456
0/1 89570699375/134217728 1000/1 89570699375/134217728
0/1 77970778875/268435456 1000/1 77970778875/268435456
1615535375/2097152 0/1 1615535375/2097152 1000/1
0/1 199829526875/268435456 1000/1 199829526875/268435456
47562470125/67108864 0/1 47562470125/67108864 1000/1
126826279375/134217728 0/1 126826279375/134217728 1000/1
218725923875/268435456 0/1 218725923875/268435456 1000/1
0/1 944071375/16777216 1000/1 944071375/16777216
0/1 1935135125/268435456 1000/1 1935135125/268435456
0/1 22825925875/33554432 1000/1 22825925875/33554432
27647717125/33554432 0/1 27647717125/33554432 1000/1
0/1 109233657375/134217728 1000/1 109233657375/134217728
254642225875/268435456 0/1 254642225875/268435456 1000/1
0/1 69818586375/134217728 1000/1 69818586375/134217728
45484030125/67108864 0/1 45484030125/67108864 1000/1
189895984375/268435456 0/1 189895984375/268435456 1000/1
37586162875/268435456 0/1 37586162875/268435456 1000/1
0/1 156718084125/268435456 1000/1 156718084125/268435456
0/1 98597136375/134217728 1000/1 98597136375/134217728
211908560875/268435456 0/1 211908560875/268435456 1000/1
141924771125/268435456 0/1 141924771125/268435456 1000/1
225952999375/268435456 0/1 225952999375/268435456 1000/1
0/1 235799251125/268435456 1000/1 235799251125/268435456
0/1 29367560875/67108864 1000/1 29367560875/67108864
260308696875/268435456 0/1 260308696875/268435456 1000/1
12402498375/67108864 0/1 12402498375/67108864 1000/1
254216665375/268435456 0/1 254216665375/268435456 1000/1
1110905125/268435456 0/1 1110905125/268435456 1000/1
183081272375/268435456 0/1 183081272375/268435456 1000/1
4079808625/8388608 0/1 4079808625/8388608 1000/1
0/1 2019729625/16777216 1000/1 2019729625/16777216
0/1 15606927625/33554432 1000/1 15606927625/33554432
0/1 5393830875/8388608 1000/1 5393830875/8388608
0/1 35011029375/134217728 1000/1 35011029375/134217728
75337580125/134217728 0/1 75337580125/134217728 1000/1
0/1 222075344625/268435456 1000/1 222075344625/268435456
43756122875/268435456 0/1 43756122875/268435456 1000/1
254820263625/268435456 0/1 254820263625/268435456 1000/1
16246328875/67108864 0/1 16246328875/67108864 1000/1
0/1 17228455875/33554432 1000/1 17228455875/33554432
35499070125/67108864 0/1 35499070125/67108864 1000/1
64693778125/268435456 0/1 64693778125/268435456 1000/1
0/1 117067011875/134217728 1000/1 117067011875/134217728
44850815625/67108864 0/1 44850815625/67108864 1000/1
0/1 249534327375/268435456 1000/1 249534327375/268435456
0/1 193525226875/268435456 1000/1 193525226875/268435456
34935017375/134217728 0/1 34935017375/134217728 1000/1
0/1 108991387375/268435456 1000/1 108991387375/268435456
29117899875/67108864 0/1 29117899875/67108864 1000/1
27806180625/67108864 0/1 27806180625/67108864 1000/1
50781995625/134217728 0/1 50781995625/134217728 1000/1
20770737875/134217728 0/1 20770737875/134217728 1000/1
0/1 8706560875/16777216 1000/1 8706560875/16777216
0/1 126333827875/268435456 1000/1 126333827875/268435456
0/1 10366077625/67108864 1000/1 10366077625/67108864
0/1 75953955875/134217728 1000/1 75953955875/134217728
82225355125/134217728 0/1 82225355125/134217728 1000/1
0/1 10400451875/134217728 1000/1 10400451875/134217728
57728919625/67108864 0/1 57728919625/67108864 1000/1
36679791875/134217728 0/1 36679791875/134217728 1000/1
154345473625/268435456 0/1 154345473625/268435456 1000/1
0/1 44293461125/268435456 1000/1 44293461125/268435456
0/1 182246541375/268435456 1000/1 182246541375/268435456
6517867125/134217728 0/1 6517867125/134217728 1000/1
0/1 91562948125/134217728 1000/1 91562948125/134217728
0/1 99987901625/134217728 1000/1 99987901625/134217728
0/1 165765052375/268435456 1000/1 165765052375/268435456
0/1 28186731125/268435456 1000/1 28186731125/268435456
202067981125/268435456 0/1 202067981125/268435456 1000/1
0/1 6408460625/8388608 1000/1 6408460625/8388608
0/1 60404836875/134217728 1000/1 60404836875/134217728
255776944375/268435456 0/1 255776944375/268435456 1000/1
603306625/4194304 0/1 603306625/4194304 1000/1
0/1 2502696625/16777216 1000/1 2502696625/16777216
0/1 193566764875/268435456 1000/1 193566764875/268435456
66251841375/268435456 0/1 66251841375/268435456 1000/1
56952721125/67108864 0/1 56952721125/67108864 1000/1
0/1 1930000875/33554432 1000/1 1930000875/33554432
0/1 44753270875/268435456 1000/1 44753270875/268435456
224786349125/268435456 0/1 224786349125/268435456 1000/1
121694890875/134217728 0/1 121694890875/134217728 1000/1
0/1 65075540375/134217728 1000/1 65075540375/134217728
253727185375/268435456 0/1 253727185375/268435456 1000/1
0/1 203021765375/268435456 1000/1 203021765375/268435456
0/1 34339508375/67108864 1000/1 34339508375/67108864
24582171125/134217728 0/1 24582171125/134217728 1000/1
0/1 4700117125/134217728 1000/1 4700117125/134217728
0/1 33100855375/268435456 1000/1 33100855375/268435456
83028653875/268435456 0/1 83028653875/268435456 1000/1
114506683125/134217728 0/1 114506683125/134217728 1000/1
178478632875/268435456 0/1 178478632875/268435456 1000/1
0/1 55628373125/67108864 1000/1 55628373125/67108864
15838469625/33554432 0/1 15838469625/33554432 1000/1
114242135375/268435456 0/1 114242135375/268435456 1000/1
0/1 94132608875/268435456 1000/1 94132608875/268435456
33740189125/268435456 0/1 33740189125/268435456 1000/1
49895826125/67108864 0/1 49895826125/67108864 1000/1
0/1 112958117125/268435456 1000/1 112958117125/268435456
50806433875/134217728 0/1 50806433875/134217728 1000/1
256148437625/268435456 0/1 256148437625/268435456 1000/1
24193060875/134217728 0/1 24193060875/134217728 1000/1
113551782125/134217728 0/1 113551782125/134217728 1000/1
0/1 61453500625/67108864 1000/1 61453500625/67108864
195171781875/268435456 0/1 195171781875/268435456 1000/1
183295679125/268435456 0/1 183295679125/268435456 1000/1
0/1 15730393125/268435456 1000/1 15730393125/268435456
0/1 90717366625/268435456 1000/1 90717366625/268435456
0/1 211469461125/268435456 1000/1 211469461125/268435456
0/1 137908562125/268435456 1000/1 137908562125/268435456
0/1 83496419875/268435456 1000/1 83496419875/268435456
185877420125/268435456 0/1 185877420125/268435456 1000/1
30091360875/134217728 0/1 30091360875/134217728 1000/1
196101061375/268435456 0/1 196101061375/268435456 1000/1
0/1 105638150125/268435456 1000/1 105638150125/268435456
2772941875/16777216 0/1 2772941875/16777216 1000/1
0/1 103257127625/268435456 1000/1 103257127625/268435456
9140243625/33554432 0/1 9140243625/33554432 1000/1
