1400
469776216875/33554432 794884890625/33554432 2762164216875/33554432 1413787178125/16777216
371456308125/33554432 3126652493125/33554432 67051709375/8388608 2686023396875/33554432
841022196875/16777216 -549115783125/4194304 -3040071986875/33554432 4688727938125/33554432
-2045445530625/16777216 -130794654375/33554432 -480288615625/4194304 45573548125/4194304
3336769121875/33554432 874906685625/16777216 -167498699375/2097152 3165508548125/33554432
-3387911086875/33554432 2879610934375/33554432 -1692402026875/16777216 1443997226875/33554432
381059616875/8388608 649167246875/16777216 -4429613540625/33554432 577987764375/4194304
1272436956875/33554432 1052141671875/16777216 -607041430625/8388608 -2855302288125/33554432
1016677449375/33554432 3334085199375/33554432 -20631305625/1048576 -2267752493125/33554432
-737818108125/8388608 373002415625/4194304 -673411773125/8388608 472462650625/8388608
626135820625/33554432 2605825648125/33554432 -4379543406875/33554432 2068192188125/16777216
-660970646875/8388608 -554570839375/4194304 -3707956914375/33554432 -217457848125/2097152
2240154398125/16777216 -1931165455625/16777216 2536871561875/33554432 -2206314324375/16777216
-697039853125/8388608 344872163125/8388608 806103781875/8388608 2456386673125/33554432
523865505625/4194304 -881426529375/8388608 4411977959375/33554432 370258188125/16777216
1997666934375/33554432 322826625625/16777216 257180529375/4194304 -3496214439375/33554432
1120096516875/33554432 -3559015245625/33554432 1457704504375/16777216 96605088125/8388608
-2446794205625/33554432 365521970625/33554432 -31557098125/524288 1413276379375/33554432
-2966697908125/33554432 -2478845753125/33554432 29292055625/524288 1017673916875/33554432
-1690097976875/33554432 2320765041875/16777216 -3760354950625/33554432 399025449375/4194304
159265491875/2097152 -881795429375/33554432 -227236244375/16777216 -973020076875/33554432
-8629088125/16777216 2305125431875/33554432 3395527296875/33554432 199485645625/33554432
325882764375/33554432 -546019473125/16777216 -183848065625/33554432 308182135625/33554432
2057955239375/16777216 135867633125/8388608 -876451331875/16777216 -2324000258125/33554432
827485063125/8388608 -2134070421875/16777216 423341331875/33554432 -404195439375/33554432
-633812606875/16777216 -1215815803125/16777216 610471964375/8388608 1835004521875/16777216
1267131298125/33554432 -996399315625/33554432 2558984343125/33554432 -2951455180625/33554432
700965785625/8388608 1689639021875/16777216 54517019375/4194304 2096941188125/16777216
-607789966875/33554432 531034608125/8388608 591616843125/33554432 -4036182731875/33554432
-3402382326875/33554432 -30709450625/33554432 12939521875/131072 -553782560625/4194304
-3762806490625/33554432 427309474375/16777216 -1646029205625/16777216 -4484317175625/33554432
-3291449433125/33554432 124878761875/8388608 -1693703186875/33554432 -3600465631875/33554432
-467828641875/33554432 -1448368053125/16777216 -2855805246875/33554432 -1205430830625/16777216
633990643125/16777216 3597361945625/33554432 2401974946875/33554432 416704981875/8388608
