1600
450698253125/4194304 157585206875/1048576 82633855625/524288 -139397885625/2097152
-225325698125/4194304 99917408125/2097152 -28266155625/524288 -464379455625/4194304
10431450625/2097152 -332161583125/4194304 649987183125/4194304 -178185123125/4194304
-87240689375/2097152 -460353590625/4194304 -102859058125/2097152 -208532241875/2097152
-17772701875/1048576 84413200625/1048576 72304903125/524288 301416050625/2097152
153865076875/1048576 322914973125/4194304 -442132615625/4194304 -56764465625/2097152
-100287923125/4194304 -8221906875/1048576 -1616254375/1048576 4284484375/1048576
-250670580625/2097152 -184866035625/2097152 108178854375/4194304 -131121323125/2097152
-329414810625/4194304 -87909395625/4194304 -25163201875/2097152 249365803125/4194304
1774925625/1048576 -49829488125/524288 562664678125/4194304 271059810625/2097152
-135343659375/4194304 -137175925625/1048576 -240352545625/4194304 319893770625/2097152
312392846875/4194304 -29363886875/2097152 -192421405625/4194304 41853194375/524288
133071911875/2097152 -317347753125/4194304 -531515725625/4194304 -26827661875/2097152
-123814721875/2097152 -72577676875/524288 137217031875/1048576 159493116875/4194304
-7925274375/131072 -160833333125/2097152 104406806875/4194304 -497228213125/4194304
-102623901875/2097152 -110748434375/1048576 86499909375/4194304 102292561875/1048576
-267666246875/4194304 106954620625/1048576 148466025625/1048576 238076828125/2097152
133370115625/4194304 363465076875/4194304 290580263125/4194304 364722843125/4194304
460038128125/4194304 2700580625/131072 52898009375/524288 -578818526875/4194304
3370643125/4194304 323034623125/2097152 322337116875/2097152 -185394303125/2097152
-450861430625/4194304 18408490625/4194304 88351813125/2097152 -578314829375/4194304
-162003066875/1048576 285851514375/2097152 46773319375/2097152 97380515625/1048576
325502121875/4194304 -601391138125/4194304 368048864375/4194304 -144018971875/4194304
557297360625/4194304 33814661875/1048576 -121024718125/4194304 -101859799375/4194304
111308383125/1048576 5266390625/262144 315912163125/4194304 129053924375/1048576
289697636875/2097152 158814290625/1048576 627419190625/4194304 658769430625/4194304
-305563790625/4194304 12463016875/1048576 12563326875/262144 292078210625/2097152
534406743125/4194304 -128014424375/1048576 -183571399375/2097152 34114100625/2097152
-17895835625/131072 -145410240625/1048576 -172907613125/2097152 -201675900625/2097152
-142796834375/4194304 23296444375/262144 214381369375/2097152 -121335506875/4194304
-151060104375/1048576 -199477093125/2097152 134121384375/1048576 -300095926875/4194304
19160085625/2097152 139964863125/2097152 276475248125/2097152 -267978001875/2097152
-58844983125/4194304 -46332450625/2097152 -116965475625/2097152 29601856875/4194304
225772638125/2097152 -212036945625/2097152 649690863125/4194304 -9482698125/2097152
653823683125/4194304 271335918125/2097152 -33622113125/524288 -231261018125/4194304
-44297053125/524288 22769508125/4194304 293959788125/2097152 -19228865625/262144
632320625/4194304 -48798959375/1048576 572032671875/4194304 -123284720625/2097152
266268478125/4194304 6906393125/524288 -292721485625/4194304 19331669375/262144
-58009425625/2097152 283137374375/2097152 -31777869375/4194304 534468804375/4194304
-125740405625/2097152 238790719375/4194304 -76221640625/524288 -595045529375/4194304
48024498125/524288 266921923125/4194304 -93884219375/1048576 12039303125/262144
-178656079375/2097152 -217747938125/4194304 -266173355625/2097152 -648851990625/4194304
276004831875/4194304 474871730625/4194304 -157047370625/2097152 -365556996875/4194304
-45318408125/4194304 -162610198125/1048576 536786754375/4194304 -354947043125/4194304
41931721875/4194304 -307936230625/4194304 -194287681875/2097152 -2145930625/524288
-553821325625/4194304 -55481161875/4194304 445661193125/4194304 73092430625/4194304
