1800
1817479569375/16777216 -3153824499375/33554432 -3820530909375/33554432 -3403712503125/33554432
-195675958125/8388608 2901034085625/33554432 -359949493125/2097152 -935959134375/16777216
-113761850625/33554432 -3097131710625/33554432 87399309375/2097152 1241699743125/8388608
2503554395625/33554432 1782544933125/33554432 -5343289700625/33554432 -408777170625/8388608
-92413209375/2097152 39037989375/1048576 4836376873125/33554432 -5874811486875/33554432
-1762680088125/33554432 -5287023241875/33554432 3183261350625/33554432 -662616703125/4194304
-3109865248125/33554432 1588231254375/33554432 -2057739969375/33554432 -3428699945625/33554432
-111638075625/2097152 -677737344375/33554432 3278148935625/33554432 968321075625/16777216
2422470414375/16777216 -5180644018125/33554432 -1084104680625/33554432 -1298109144375/16777216
1676310238125/16777216 -253362504375/16777216 -863881565625/33554432 -127739300625/16777216
-5896122463125/33554432 -379382765625/8388608 -888591616875/16777216 -1044208524375/33554432
991805304375/16777216 -957943125/65536 -5012425839375/33554432 8465518125/4194304
2598864474375/16777216 341711656875/2097152 -1034324960625/8388608 1325941959375/16777216
-460506909375/8388608 14201454375/262144 -4244262035625/33554432 -1715681131875/33554432
1704460044375/33554432 -2652460081875/16777216 -660642913125/16777216 11585548125/2097152
950375503125/8388608 52070625/8192 23308925625/8388608 1606116470625/16777216
-5926029193125/33554432 921123208125/16777216 1251297084375/33554432 -1291236249375/16777216
1277694826875/33554432 -5031052554375/33554432 -4160962569375/33554432 5086545305625/33554432
1983473836875/16777216 595919604375/16777216 -1586780094375/16777216 2750262879375/33554432
-1218998896875/33554432 -2235614821875/16777216 2143526923125/33554432 -5211569998125/33554432
5667705118125/33554432 -1017147898125/16777216 -713270165625/16777216 205084378125/8388608
-231723106875/33554432 3020530741875/33554432 -1074866776875/16777216 5166470626875/33554432
870906504375/33554432 -4876160056875/33554432 -310944976875/33554432 -424898623125/16777216
2563720846875/33554432 -2688032581875/33554432 -783453931875/33554432 -2696504979375/33554432
4864793889375/33554432 8069743125/8388608 661966824375/33554432 -17992738125/524288
-5217832198125/33554432 870312515625/16777216 1403489885625/33554432 -121329174375/16777216
2032014785625/16777216 -594778561875/33554432 2276302438125/16777216 242741300625/2097152
1047630470625/16777216 -605719153125/8388608 5044792933125/33554432 299521738125/33554432
-394646675625/4194304 -1439595579375/16777216 146206524375/16777216 -395020996875/8388608
-1539052858125/33554432 1160756611875/33554432 261723819375/16777216 -533199324375/4194304
