200
367606741875/33554432 22816294375/16777216 -480582710625/33554432 -298199161875/16777216
-35343319375/8388608 -262512591875/33554432 16029231875/1048576 -176454219375/33554432
536974481875/33554432 -1290244375/131072 568421586875/33554432 25015858125/2097152
541692788125/33554432 8099176875/524288 152288916875/8388608 -111527398125/16777216
-628555318125/33554432 -37541874375/33554432 -2869123125/2097152 -68324233125/4194304
-163022269375/8388608 -657398850625/33554432 624085151875/33554432 -224062743125/33554432
-85232931875/16777216 302652711875/33554432 -255059656875/16777216 47596340625/33554432
65145388125/8388608 30248373125/8388608 310752284375/33554432 -592072003125/33554432
37862033125/16777216 -108898108125/33554432 -521676151875/33554432 -137604563125/16777216
489687509375/33554432 -40722649375/2097152 320892389375/33554432 -29730624375/8388608
-598167653125/33554432 -337984111875/33554432 -33256706875/2097152 -1826986875/4194304
-509405908125/33554432 314966271875/33554432 -245441368125/33554432 -275692233125/16777216
32490306875/4194304 305269339375/33554432 -141504873125/16777216 311688321875/16777216
-193287481875/33554432 145867074375/33554432 546906820625/33554432 -34431251875/33554432
369139219375/33554432 -176975808125/33554432 100033000625/33554432 -589869244375/33554432
-149492693125/33554432 -192972323125/16777216 3437516875/4194304 303320239375/33554432
-154071449375/16777216 663788714375/33554432 -503758003125/33554432 368795204375/33554432
82971971875/4194304 9786658125/4194304 -71700848125/33554432 -22720804375/16777216
309672221875/16777216 -130520553125/33554432 181891826875/16777216 -74986064375/16777216
-598411885625/33554432 283518954375/33554432 -36121646875/4194304 207640261875/16777216
-502747459375/33554432 118352698125/33554432 -80054813125/16777216 330878079375/16777216
2135069375/2097152 -139206796875/33554432 -213513383125/16777216 -88521308125/16777216
154673125/262144 -109163001875/8388608 -116986614375/16777216 -547688066875/33554432
143327740625/16777216 -16370219375/2097152 30423904375/2097152 -611091183125/33554432
518516613125/33554432 -477172879375/33554432 191521828125/33554432 46580760625/33554432
-2899568125/262144 -298966824375/16777216 980145625/65536 -563198916875/33554432
646960491875/33554432 135473239375/16777216 10918763125/1048576 207647085625/33554432
-189026364375/33554432 70375046875/4194304 -223990923125/16777216 165008435625/16777216
-630717169375/33554432 422154111875/33554432 -150774123125/16777216 79113579375/33554432
-642475040625/33554432 556746148125/33554432 121327180625/8388608 473485836875/33554432
-9113475625/2097152 119773304375/8388608 -241934154375/33554432 198258788125/33554432
-222776006875/33554432 89118938125/33554432 2010741875/1048576 114571753125/33554432
-274161814375/16777216 -6523248125/4194304 303888313125/16777216 -102617253125/33554432
-485107004375/33554432 175586971875/16777216 -252077156875/16777216 72118623125/4194304
665074178125/33554432 -97808966875/8388608 307141191875/16777216 -246436509375/33554432
-219515466875/16777216 -165650945625/8388608 -328134935625/33554432 152643494375/33554432
