2400
-1206761799375/8388608 -896877151875/4194304 200911951875/8388608 145486074375/4194304
-1094065524375/8388608 228712145625/8388608 -298675029375/4194304 -577633629375/4194304
452820729375/8388608 -1277250853125/8388608 -421626943125/8388608 -6158874375/4194304
1291331619375/8388608 -890507919375/4194304 -116106553125/4194304 461489728125/8388608
983021821875/4194304 928388585625/4194304 -347707708125/2097152 65118305625/1048576
-687933418125/8388608 1068609654375/8388608 -1579667743125/8388608 -37547833125/262144
-912893514375/4194304 -988358064375/4194304 487353871875/4194304 -672802029375/4194304
737310136875/4194304 1887373220625/8388608 -156666406875/4194304 -119044524375/4194304
1093941609375/8388608 38680813125/8388608 -862245553125/4194304 -38305306875/2097152
227191471875/1048576 387790029375/2097152 36395784375/524288 1773908919375/8388608
488088181875/8388608 145431733125/8388608 1608821465625/8388608 -56760661875/8388608
513533450625/8388608 28085315625/4194304 1421755745625/8388608 -110453113125/8388608
1922852653125/8388608 -780503690625/8388608 -372302668125/4194304 945711103125/4194304
-1251196595625/8388608 274537809375/4194304 -417452720625/8388608 -210845334375/1048576
-305971505625/2097152 7255171875/8388608 10610308125/4194304 -730556353125/4194304
-158493361875/4194304 -2012380066875/8388608 -442538623125/2097152 -389534998125/8388608
608627435625/8388608 -386396068125/8388608 -1393253038125/8388608 1728315290625/8388608
1274509794375/8388608 -1318760649375/8388608 -879423099375/4194304 -51543849375/4194304
-261736978125/8388608 -530781271875/8388608 139216261875/4194304 -898761796875/8388608
367486730625/8388608 -1999352923125/8388608 -227457823125/1048576 -139373720625/1048576
244884365625/8388608 -360542349375/2097152 -20694736875/4194304 475625971875/2097152
-1927355544375/8388608 -1211450574375/8388608 -1428861646875/8388608 964563864375/4194304
1341370921875/8388608 -959497366875/8388608 -843568321875/8388608 1675139435625/8388608
-884019406875/4194304 464936829375/2097152 -457547023125/4194304 -1620590825625/8388608
-469513134375/2097152 -157037424375/8388608 228398319375/4194304 292330074375/4194304
-4353665625/8388608 -1422439756875/8388608 61274979375/1048576 -1414287699375/8388608
-334566594375/2097152 212971873125/4194304 -963090545625/4194304 250101170625/8388608
1663199004375/8388608 825356780625/4194304 1903395950625/8388608 838712401875/8388608
-43470583125/8388608 1650793063125/8388608 -1585059793125/8388608 -1566847306875/8388608
55723775625/262144 1650801553125/8388608 1789216141875/8388608 -230039315625/4194304
-125249038125/4194304 905601433125/8388608 -1596162770625/8388608 1085728708125/8388608
-1474878219375/8388608 -557785644375/8388608 42497979375/8388608 404194576875/8388608
1326664310625/8388608 487530721875/4194304 251422160625/2097152 245662516875/2097152
579261808125/8388608 1706705311875/8388608 -330396429375/2097152 1127009135625/8388608
-559832806875/4194304 1100251584375/8388608 -116025189375/524288 -211753123125/8388608
1608727888125/8388608 -829867899375/4194304 928024944375/8388608 -47043624375/524288
479691155625/8388608 -280731170625/4194304 -1550869516875/8388608 425983689375/2097152
689293745625/4194304 339352318125/2097152 1245096016875/8388608 -205342104375/4194304
-872440164375/4194304 215159349375/4194304 10499589375/2097152 1150244668125/8388608
-856208015625/8388608 1226924619375/8388608 -805423130625/8388608 -422010215625/8388608
-677231326875/8388608 -105403310625/4194304 435923510625/4194304 -729935709375/4194304
-692318428125/4194304 1450573794375/8388608 844872365625/4194304 -811229619375/4194304
-1000569204375/4194304 -114872746875/1048576 322776568125/2097152 1384615006875/8388608
12185983125/8388608 683943958125/8388608 446359824375/8388608 634694679375/8388608
1203223291875/8388608 -465437049375/2097152 1871187350625/8388608 -47785081875/1048576
-107927000625/1048576 -401534589375/2097152 343523653125/8388608 1386787828125/8388608
102045433125/8388608 -1154254944375/8388608 -365307504375/2097152 16156768125/2097152
-1458293859375/8388608 -1614519268125/8388608 -882754460625/8388608 -1836660080625/8388608
-571616394375/8388608 -1470390001875/8388608 -629121586875/8388608 -3029240625/32768
517352488125/4194304 905287505625/4194304 -1915933978125/8388608 387163659375/2097152
-323636503125/4194304 887067391875/8388608 -1229027518125/8388608 -389563483125/2097152
-1888140785625/8388608 1307540769375/8388608 1365610438125/8388608 -356052238125/2097152
-1915374376875/8388608 702303530625/4194304 -965374599375/4194304 -243299566875/1048576
-1354328986875/8388608 432662079375/2097152 1328866861875/8388608 241551755625/2097152
714025846875/4194304 -822260420625/4194304 230764644375/8388608 23851498125/4194304
32188891875/4194304 -120197945625/4194304 -481776399375/2097152 18978519375/8388608
-965404625625/8388608 2010627223125/8388608 -1457755659375/8388608 763411693125/4194304
724128751875/8388608 -30674083125/8388608 -47206520625/262144 1262431629375/8388608
954607434375/8388608 -701778860625/4194304 1544054431875/8388608 -1743034370625/8388608
491465180625/8388608 985764290625/4194304 -203975941875/8388608 -526381880625/4194304
341620873125/8388608 -669896191875/8388608 -386061440625/2097152 1035703846875/8388608
-1945742428125/8388608 -53545348125/262144 -396619261875/2097152 -47451001875/262144
305254843125/2097152 526450768125/8388608 435567151875/8388608 394756449375/8388608
339776319375/4194304 286451495625/8388608 32746276875/1048576 -1491670824375/8388608
-855179859375/8388608 -29036405625/8388608 -1713609380625/8388608 535386463125/4194304
877936918125/4194304 -21202876875/4194304 521234075625/4194304 -227245558125/2097152
-1506779311875/8388608 -656840409375/4194304 990245413125/8388608 -790831948125/4194304
-1682540983125/8388608 17821910625/2097152 227416933125/2097152 664854234375/4194304
773654975625/4194304 -500944471875/4194304 217764493125/2097152 254471491875/4194304
-401274331875/8388608 -268157165625/8388608 421352803125/8388608 -1878383274375/8388608
-550108659375/8388608 1665015031875/8388608 1515717080625/8388608 1167872551875/8388608
332802721875/4194304 43747779375/1048576 41020333125/1048576 -231978973125/2097152
257250204375/4194304 1739993000625/8388608 -65301163125/2097152 1679803899375/8388608
197748136875/1048576 762771399375/8388608 -4283908125/524288 430947504375/8388608
-1903362856875/8388608 -881081446875/8388608 -2379103125/2097152 835194279375/8388608
-295502491875/8388608 685365841875/4194304 -178153040625/8388608 -385893335625/8388608
-636449930625/8388608 734671951875/4194304 314688639375/4194304 -48395660625/1048576
1400767535625/8388608 319443268125/8388608 1008713180625/8388608 713163065625/4194304
406935549375/8388608 259810449375/8388608 195392229375/8388608 226651775625/8388608
383964553125/2097152 103039501875/2097152 340777648125/4194304 -1745618345625/8388608
-1832612773125/8388608 1558506350625/8388608 -666390005625/8388608 389703245625/4194304
