2600
-2200425508125/16777216 7239065835625/33554432 975637788125/8388608 -4545988695625/33554432
5293220213125/33554432 -46235109375/16777216 1190643780625/16777216 -4124216549375/16777216
-6705053948125/33554432 116155641875/524288 -4240547618125/16777216 148460300625/4194304
2345704196875/16777216 -6737824201875/33554432 -2070792985625/8388608 -3896274711875/33554432
1014960561875/33554432 1881935388125/8388608 646679775625/8388608 94130603125/1048576
-2825002984375/33554432 -5036549431875/33554432 -827237913125/33554432 179375194375/33554432
6554776288125/33554432 2043834073125/33554432 6653464829375/33554432 -125307479375/4194304
-490586045625/16777216 -2378695385625/16777216 -2075637338125/8388608 -1860114156875/8388608
-9179340625/4194304 -215809969375/33554432 3820562646875/16777216 595199353125/16777216
-5610455085625/33554432 -2286202774375/33554432 2780573111875/16777216 -1930659891875/33554432
7232525828125/33554432 -4485913128125/33554432 -8053670681875/33554432 1641163200625/16777216
543394271875/16777216 -1502303375625/16777216 4119961161875/16777216 -1281954513125/8388608
-3973272558125/16777216 983811603125/33554432 -5134412343125/33554432 7538917855625/33554432
-3158763765625/33554432 4063972956875/33554432 -1163852438125/33554432 3699554893125/33554432
-68581621875/524288 915496765625/4194304 -268340938125/1048576 -1400440348125/8388608
-2625247649375/16777216 35371838125/262144 -2096411370625/8388608 2213744918125/33554432
-2134854726875/16777216 -2713096351875/33554432 8109035650625/33554432 2853709096875/16777216
2244658089375/33554432 281103899375/4194304 3196447564375/16777216 6683326381875/33554432
4835535046875/33554432 120550974375/1048576 -4099704886875/16777216 -2325500734375/33554432
-5713141744375/33554432 -1793867066875/8388608 -8299376304375/33554432 3864214063125/16777216
-1465060130625/33554432 -2158515230625/16777216 300608920625/2097152 -2629446080625/33554432
-1355203663125/33554432 -2052824044375/16777216 3895231721875/33554432 222942500625/2097152
76076121875/4194304 -6769019765625/33554432 517347341875/2097152 1075235533125/33554432
-733989530625/16777216 -1595879699375/33554432 -141859631875/1048576 -2799221693125/16777216
-126443516875/4194304 1889406325625/16777216 2166806841875/33554432 833048701875/33554432
960621796875/33554432 -17253965625/1048576 -4906998240625/33554432 -2384637279375/16777216
-169008376875/4194304 -6241986944375/33554432 1443299528125/8388608 -3968352009375/33554432
-5991137920625/33554432 2790200180625/33554432 187367513125/2097152 -3087586734375/16777216
2870365704375/16777216 3007727149375/33554432 378858959375/4194304 3308247548125/33554432
-6025396674375/33554432 1410911604375/16777216 -373683903125/8388608 4885732791875/33554432
-5742169233125/33554432 851095951875/4194304 -1984579910625/16777216 7468213731875/33554432
6612004660625/33554432 -2474684574375/33554432 1992811185625/33554432 875129181875/16777216
-45631015625/4194304 8320173395625/33554432 5435832683125/33554432 3640772565625/16777216
7985135185625/33554432 2804140893125/16777216 3113075996875/16777216 830809760625/8388608
-4566605525625/33554432 -1388042053125/8388608 -62745921875/33554432 -8093539780625/33554432
4864360336875/33554432 739814115625/16777216 -4007318339375/16777216 3196797443125/33554432
6763160746875/33554432 -157058370625/16777216 -8722216433125/33554432 38513873125/8388608
3986358423125/16777216 -277912561875/16777216 312142553125/16777216 -2473847894375/33554432
530858339375/4194304 -26574868125/1048576 -320961875/2048 81378058125/8388608
-1000458005625/4194304 -1155333716875/8388608 569250881875/4194304 595167308125/8388608
372888173125/16777216 -5455191568125/33554432 -7404311809375/33554432 1038124335625/4194304
-5627369255625/33554432 -299664161875/16777216 -6009889023125/33554432 -1110138615625/33554432
