2800
-999544748125/8388608 2439808415625/16777216 -882299639375/8388608 1194381768125/8388608
-838110100625/16777216 -359498199375/4194304 -801147615625/16777216 -1167426211875/8388608
-1289712414375/8388608 2231063996875/16777216 53207021875/262144 2172605124375/16777216
64186215625/8388608 -971864928125/8388608 -464512426875/2097152 -20929383125/4194304
-93223615625/16777216 -951960454375/8388608 -29400275625/1048576 3490616189375/16777216
2537066756875/16777216 -187016283125/1048576 783563580625/8388608 -821002065625/16777216
-146685056875/524288 -221012430625/4194304 -2794628029375/16777216 -2159514573125/8388608
-179606328125/2097152 2371999153125/16777216 -144629489375/8388608 -2072249038125/16777216
-333979533125/4194304 -215094315625/4194304 -780492820625/4194304 1956314224375/8388608
1797811159375/16777216 134783525625/8388608 545571088125/8388608 -637119756875/8388608
1555429054375/16777216 -1641106464375/16777216 -1053837115625/8388608 -1250513665625/16777216
-3202380050625/16777216 -131692255625/524288 4000466771875/16777216 100027370625/4194304
-427201201875/8388608 -2500531026875/16777216 -3736668324375/16777216 2118886441875/8388608
2147780945625/8388608 -1351138053125/16777216 -408104309375/8388608 -1582585405625/16777216
-1544139594375/8388608 -283322580625/2097152 -3211923885625/16777216 -488402350625/4194304
163250679375/4194304 328597241875/4194304 76880846875/4194304 -1482386180625/16777216
3091334999375/16777216 2672707664375/16777216 332283774375/4194304 -4437964181875/16777216
-4155688184375/16777216 2664246361875/16777216 -26935811875/4194304 -1967712385625/8388608
3006045774375/16777216 2260908041875/16777216 -1323284370625/16777216 -883066358125/8388608
2339011583125/16777216 -855822454375/8388608 -543727751875/16777216 -2838180625/65536
1966874205625/8388608 352579976875/4194304 -716556509375/8388608 481133226875/2097152
112878723125/8388608 -289606716875/4194304 -3108182258125/16777216 -1635331271875/8388608
902097599375/8388608 934971323125/4194304 -1286775065625/8388608 -102904904375/4194304
3340922869375/16777216 437693703125/16777216 862585434375/8388608 1105071113125/8388608
-2279347179375/8388608 1830584966875/16777216 -618257381875/16777216 -1927968118125/8388608
635324230625/16777216 1453737998125/8388608 57846385625/524288 117856396875/524288
-29482438125/524288 823026176875/4194304 2004357656875/16777216 3002598265625/16777216
341715574375/8388608 -132463585625/1048576 -216607216875/4194304 -257989143125/1048576
374686956875/4194304 -1802507433125/16777216 1258704899375/8388608 712329821875/4194304
-939848599375/4194304 1841032536875/16777216 -699532894375/16777216 -3568036416875/16777216
1597081224375/8388608 -2684147746875/16777216 -368636410625/2097152 1128578828125/8388608
254268695625/16777216 -150645674375/4194304 -2352307540625/16777216 2232255493125/8388608
-1540157294375/8388608 -1931294763125/16777216 3527000955625/16777216 1589376131875/8388608
-895617358125/4194304 984158888125/16777216 -719203979375/4194304 -605933426875/8388608
2109630586875/16777216 -3870332825625/16777216 -423862079375/4194304 -1172298036875/16777216
1319316289375/8388608 2901656874375/16777216 -2860234418125/16777216 -1453655993125/8388608
904409795625/16777216 -1743250998125/16777216 -1057403528125/16777216 2196852721875/8388608
-1240314201875/8388608 -1740541936875/8388608 -3269738539375/16777216 1559213446875/8388608
2072430784375/8388608 -1869197701875/8388608 776045029375/16777216 -440371868125/4194304
-303159766875/4194304 3637162011875/16777216 4371209145625/16777216 4371052161875/16777216
-1238192073125/8388608 161355000625/8388608 2062889863125/8388608 -401078986875/2097152
-1147897716875/8388608 -1206445625/16777216 3290550178125/16777216 -1881976779375/8388608
-1191768090625/8388608 -970325295625/8388608 4520842029375/16777216 4175479826875/16777216
-216647256875/16777216 130731365625/524288 1624915831875/16777216 1709773323125/16777216
576643003125/8388608 -534500115625/8388608 23305148125/8388608 1424903641875/16777216
1544545655625/16777216 396249844375/4194304 -705192368125/16777216 4536800533125/16777216
-189215963125/2097152 -7904351875/65536 -484259628125/8388608 4367206440625/16777216
1990711235625/16777216 1221412941875/16777216 1210121985625/16777216 1443979569375/16777216
2098621520625/16777216 223941545625/2097152 -720959526875/4194304 3947629914375/16777216
-3451098896875/16777216 -2850096388125/16777216 -276379455625/8388608 1356717079375/16777216
-1139390984375/4194304 -449515128125/2097152 1007121373125/8388608 895601301875/4194304
1949854528125/16777216 -1867029828125/16777216 2808474134375/16777216 488605446875/8388608
266054709375/16777216 -638859948125/16777216 -610766445625/8388608 1151790163125/8388608
-3628552493125/16777216 807615388125/8388608 905895388125/16777216 -1474547948125/16777216
1437643186875/8388608 1869287966875/16777216 469464856875/4194304 -2838883481875/16777216
-976349303125/4194304 -1031730030625/4194304 3586874571875/16777216 966524671875/4194304
1060362970625/8388608 2843086631875/16777216 -659531368125/8388608 319696278125/16777216
1600353768125/8388608 1032636084375/4194304 -65476910625/524288 -542749878125/8388608
-2473247135625/16777216 622995471875/4194304 4666578240625/16777216 -2178345964375/16777216
180145555625/16777216 -4324039601875/16777216 -484452994375/8388608 -223635304375/8388608
-2119234735625/8388608 -1495420679375/16777216 678603480625/16777216 921872625625/4194304
3971844533125/16777216 -3030864375/16384 -3726580598125/16777216 -13809280625/2097152
578982980625/16777216 -3507396729375/16777216 -337793421875/4194304 -970558325625/4194304
-715175383125/16777216 -1567273623125/8388608 1590438635625/8388608 654637396875/16777216
4329838113125/16777216 195390680625/2097152 -55376750625/16777216 1850275608125/16777216
2891438895625/16777216 3343529940625/16777216 -1652436051875/16777216 90966841875/8388608
332831069375/16777216 -1280818301875/16777216 -4263556443125/16777216 3010227705625/16777216
-1458361935625/8388608 -540989605625/8388608 -4310705905625/16777216 -3013753089375/16777216
1223743845625/16777216 -4067604130625/16777216 -2632586324375/16777216 784288194375/4194304
-15987391875/65536 -902597180625/8388608 -592636568125/16777216 -2590643243125/16777216
-500978708125/8388608 634970713125/8388608 4615170441875/16777216 -4449649815625/16777216
82621161875/16777216 -1143475309375/8388608 1422755140625/16777216 -3367378818125/16777216
990673306875/16777216 945848754375/16777216 3390012136875/16777216 2155432496875/16777216
-1270232674375/8388608 -1591516180625/8388608 4221617264375/16777216 -3631962411875/16777216
574759705625/4194304 -163529874375/16777216 -1717767016875/16777216 1003614644375/16777216
-354753966875/8388608 -3565838828125/16777216 -639483551875/4194304 579106486875/8388608
-1476538126875/8388608 -4306586965625/16777216 4052295594375/16777216 -3553542899375/16777216
-1704025771875/16777216 4600423226875/16777216 4330301154375/16777216 665553616875/4194304
-185574108125/16777216 -2227630978125/8388608 -424452021875/4194304 4165434634375/16777216
4152270740625/16777216 1204195846875/16777216 -348132701875/2097152 -1931230949375/8388608
-1491936788125/8388608 158743361875/16777216 -403070801875/8388608 779082521875/16777216
-150645936875/16777216 -732700250625/8388608 -297455886875/16777216 1082415613125/16777216
-2208633170625/8388608 -656784690625/8388608 -3177649724375/16777216 1877877999375/16777216
2330459350625/16777216 845229363125/16777216 1129530600625/4194304 696051505625/8388608
314431796875/16777216 628645338125/8388608 -308761306875/4194304 -106946765625/2097152
-174825039375/1048576 597628968125/16777216 -732286988125/4194304 1266392719375/8388608
-1400719166875/16777216 3439735035625/16777216 83519821875/2097152 2870035188125/16777216
-2113232716875/16777216 2453393971875/16777216 4510600504375/16777216 697670465625/16777216
-4278464168125/16777216 3723071253125/16777216 -154237636875/2097152 -2239401653125/8388608
-629684479375/4194304 464044091875/8388608 -244801536875/16777216 8817528125/262144
1643471974375/8388608 -219142468125/1048576 -3556757614375/16777216 -125547428125/16777216
-4982403125/8388608 604145233125/16777216 331005548125/2097152 2391723901875/16777216
-1358974693125/16777216 777358596875/4194304 -120295608125/16777216 -886191070625/8388608
3656609884375/16777216 1041230981875/4194304 2769234689375/16777216 -223920598125/16777216
-290718736875/1048576 2949244913125/16777216 -3315834248125/16777216 -1190806246875/8388608
4105329370625/16777216 3480885673125/16777216 2580245915625/16777216 -210455223125/16777216
-4422618134375/16777216 -476537639375/2097152 1565197563125/16777216 1636413069375/16777216
-440211095625/8388608 456018661875/4194304 -84377873125/4194304 -744473366875/4194304
564731260625/4194304 195705960625/1048576 350073793125/8388608 1107259759375/8388608
2644302618125/16777216 2097842831875/8388608 -2950508964375/16777216 -1684167699375/8388608
-748313523125/16777216 -31853206875/16777216 451913083125/2097152 -952757439375/16777216
1065676574375/8388608 3103218374375/16777216 -505971151875/2097152 888075006875/16777216
156154210625/4194304 3024805966875/16777216 2453989733125/16777216 3439517729375/16777216
-36178638125/1048576 527449899375/8388608 -2384698806875/16777216 -1087982231875/4194304
9985941875/131072 2164085091875/8388608 -1268179171875/8388608 75425975625/4194304
338688870625/16777216 -3545306060625/16777216 398331023125/8388608 -137984573125/4194304
-1813738198125/8388608 -732364819375/8388608 -86574438125/8388608 307382586875/4194304
-222745499375/4194304 38097486875/524288 1074346949375/8388608 -1639930359375/8388608
-254035324375/16777216 54941656875/8388608 355951894375/8388608 -3109359080625/16777216
-495870029375/2097152 2345910249375/16777216 789550531875/8388608 -179503095625/16777216
2027847338125/8388608 -267287120625/8388608 -2538368319375/16777216 -2307363358125/16777216
454117794375/2097152 -312403039375/16777216 -482319735625/16777216 2891156078125/16777216
1046918963125/16777216 -3915649460625/16777216 1956809981875/16777216 -151174235625/1048576
1658497868125/8388608 1365599178125/8388608 -356081910625/4194304 -317265116875/16777216
-2448679673125/16777216 -3179781154375/16777216 544734019375/4194304 816140285625/4194304
-127453186875/1048576 3987520928125/16777216 1903947198125/16777216 2243043420625/16777216
838197303125/16777216 2778958030625/16777216 -646347305625/4194304 1969975389375/8388608
-1935517311875/8388608 -991569394375/16777216 -330672164375/16777216 -1072919833125/4194304
994445720625/8388608 1579582475625/8388608 1853941341875/16777216 -4402663453125/16777216
-3255137685625/16777216 174196693125/1048576 -1758033265625/16777216 1045295838125/8388608
-937186665625/4194304 -553329205625/2097152 -2305833700625/8388608 3325400938125/16777216
-582296719375/8388608 799287348125/8388608 2262663003125/8388608 1119583040625/8388608
-509451674375/4194304 -583275984375/2097152 -915691809375/4194304 -1289570813125/16777216
1039002295625/4194304 3031197596875/16777216 -111546876875/524288 -3999145810625/16777216
2152026340625/8388608 175559654375/2097152 -420044576875/4194304 -1314664631875/8388608
1008892968125/16777216 -883162004375/8388608 1034280625/4096 4295309878125/16777216
-312094164375/4194304 -2776405778125/16777216 -11722720625/1048576 -1500771146875/8388608
-3754869698125/16777216 2845320060625/16777216 1578008516875/16777216 3370841805625/16777216
35607840625/1048576 2607766494375/16777216 -79728683125/524288 2089130754375/8388608
772975949375/8388608 2296722264375/16777216 978008049375/16777216 -477556550625/4194304
150258215625/1048576 -181211935625/8388608 -394727781875/2097152 -4167006886875/16777216
1132842423125/8388608 4359582644375/16777216 1487218499375/16777216 746778396875/16777216
264460713125/1048576 -4207509621875/16777216 4482888781875/16777216 -556354194375/4194304
3382340294375/16777216 -2317609923125/16777216 -4050600185625/16777216 -858883466875/8388608
2532177020625/16777216 -2088505111875/16777216 3271469910625/16777216 928248374375/8388608
-1993426176875/8388608 696659823125/16777216 2319724439375/16777216 -1800427339375/8388608
-483389615625/8388608 -1829352284375/8388608 1576377718125/16777216 4187376685625/16777216
-2974475319375/16777216 -2397130509375/16777216 2171630164375/16777216 -4042559863125/16777216
1012291791875/4194304 -408307808125/4194304 -2175189559375/16777216 -265694069375/2097152
-4103794813125/16777216 182405636875/16777216 1102421158125/16777216 831708206875/8388608
4611041089375/16777216 -70804059375/16777216 2282521128125/8388608 691615019375/8388608
800726338125/16777216 399581923125/16777216 230893761875/16777216 4451133894375/16777216
173103669375/16777216 -3920111663125/16777216 4269966141875/16777216 -4087411348125/16777216
-375590420625/16777216 -1629608701875/8388608 -2553317090625/16777216 -1550699644375/16777216
99046828125/524288 -1096805206875/4194304 -199481323125/8388608 -1605716511875/8388608
-166245288125/1048576 787616930625/16777216 667189298125/8388608 4066033601875/16777216
2470888013125/16777216 -3142664188125/16777216 2101845598125/8388608 -1064672940625/16777216
-2758122023125/16777216 -905597993125/8388608 3774990900625/16777216 -2552144319375/16777216
-25355815625/131072 964354181875/16777216 -7606283125/524288 -2593402328125/16777216
-2404383515625/16777216 65313626875/1048576 452607990625/16777216 1941534345625/16777216
-370996924375/2097152 293767516875/4194304 2405509316875/16777216 -930513478125/8388608
-366117425625/4194304 -4569181474375/16777216 2095878448125/16777216 -380053296875/16777216
2873450269375/16777216 -1122977445625/16777216 3547354715625/16777216 -244433669375/4194304
-4517929224375/16777216 520894635625/16777216 131247615625/524288 -1215116643125/16777216
516129333125/16777216 11250299375/4194304 -2247548506875/8388608 -4630956325625/16777216
3384685276875/16777216 -905472938125/8388608 1274498098125/8388608 -3784189810625/16777216
294051716875/8388608 -1776135825625/16777216 4104709940625/16777216 -699399168125/16777216
36611299375/8388608 -565126095625/8388608 141838029375/1048576 -2219059548125/8388608
-2465990620625/16777216 -2474822660625/16777216 -3136479889375/16777216 -1572641730625/16777216
-128011813125/16777216 674588875625/16777216 -2587234006875/16777216 -333934190625/2097152
276508701875/4194304 178674356875/4194304 1384631110625/8388608 -1348607264375/16777216
-1071825855625/16777216 -2028198020625/16777216 -1250865643125/8388608 680369248125/8388608
-484619174375/2097152 -387805403125/16777216 -722247474375/16777216 3457000360625/16777216
-4647719129375/16777216 -1538104631875/16777216 811675799375/16777216 -115336274375/16777216
514688068125/16777216 -754385375625/16777216 672460831875/8388608 -1053924379375/4194304
1114938426875/16777216 -217162833125/8388608 -503946550625/2097152 1434112439375/8388608
1275506028125/8388608 -2577897065625/16777216 1455725814375/8388608 -1634042309375/8388608
65948658125/16777216 -103309898125/1048576 -497528784375/8388608 -1749415591875/16777216
-3986935684375/16777216 -3999395246875/16777216 1994496914375/16777216 2400229269375/16777216
-3938868093125/16777216 -4080735763125/16777216 4385988088125/16777216 -855273260625/4194304
-844783506875/4194304 3972457724375/16777216 235670876875/16777216 13264330625/4194304
2385809356875/16777216 2346096869375/8388608 -2306842391875/8388608 1519441354375/16777216
-1058830311875/8388608 -187789529375/8388608 -1403831419375/16777216 683514706875/4194304
-767024645625/8388608 -837610843125/4194304 -628164105625/4194304 -2116952753125/8388608
-2741345840625/16777216 -3803236093125/16777216 689062320625/8388608 1235173900625/8388608
3158055096875/16777216 4082275736875/16777216 387508743125/4194304 272653233125/8388608
-970392014375/4194304 -728175896875/8388608 592349856875/4194304 1022903529375/4194304
27123166875/1048576 733563228125/8388608 3392019281875/16777216 -1047700548125/4194304
-455627090625/4194304 -73374293125/2097152 931634536875/16777216 566919285625/4194304
-1947997165625/8388608 -867734231875/4194304 -3768788979375/16777216 -21857976875/262144
953290183125/8388608 -1243378679375/16777216 4428302536875/16777216 1488554790625/8388608
-4151198515625/16777216 -1897700678125/8388608 189828883125/8388608 -3861941295625/16777216
-2206651943125/8388608 1121099354375/4194304 -1294454433125/16777216 -956960834375/4194304
-1205038944375/8388608 -4094193228125/16777216 -290867163125/1048576 -454257129375/4194304
-712166266875/4194304 -1693540830625/16777216 -297648806875/16777216 -3873813129375/16777216
-3950743733125/16777216 2132711188125/16777216 2266666241875/16777216 2259488004375/8388608
241720049375/2097152 221091845625/4194304 71070593125/4194304 699341251875/16777216
269798738125/4194304 335208313125/2097152 -22142264375/2097152 81436936875/1048576
-24532624375/262144 2196361146875/8388608 -1034422169375/8388608 730100861875/16777216
-434025405625/4194304 3525196836875/16777216 -1631464191875/8388608 -1113843924375/4194304
-1575464454375/8388608 -4122663619375/16777216 1501289015625/8388608 -949978535625/4194304
3182977704375/16777216 4349552143125/16777216 657102000625/4194304 654029289375/16777216
-166922695625/8388608 -2151701234375/8388608 250848836875/2097152 -453308121875/8388608
-822421044375/4194304 -1804877256875/8388608 -473312485625/16777216 2161405203125/16777216
1820188523125/16777216 -1340456061875/16777216 -755790223125/4194304 -159485519375/8388608
-255462624375/16777216 -236465053125/8388608 -1223454360625/8388608 -982690778125/8388608
771411825625/16777216 -121594020625/4194304 1070099244375/4194304 -20592805625/2097152
-1223323460625/8388608 -3744469561875/16777216 3538549293125/16777216 1126159208125/8388608
4603088914375/16777216 205435400625/2097152 2344961705625/8388608 4515772638125/16777216
