3000
-100317421875/8388608 1808753878125/8388608 -520216921875/4194304 -7481199309375/33554432
7020155165625/33554432 -4483074778125/33554432 -1633883371875/8388608 2162555315625/16777216
2988181003125/33554432 8147017340625/33554432 4406750990625/33554432 -1915354021875/33554432
-2791996875/33554432 2989061071875/33554432 -4743180815625/16777216 3293508253125/16777216
-6007516940625/33554432 -1006978125/524288 5701982259375/33554432 -1361451609375/33554432
-107286946875/2097152 906873628125/16777216 -948633065625/33554432 -6917398246875/33554432
-4295944828125/16777216 -537908390625/4194304 305898609375/33554432 183062896875/1048576
-4177799990625/33554432 -75248409375/2097152 -270832809375/8388608 -1856311771875/8388608
-9811929759375/33554432 3030840403125/16777216 -9619704046875/33554432 -8908364540625/33554432
-163807246875/2097152 8759520834375/33554432 7487040871875/33554432 3077235196875/16777216
-6652992065625/33554432 -1901135034375/33554432 -1252427484375/16777216 75258178125/4194304
-1444847184375/33554432 5254929853125/33554432 3493308571875/33554432 254136440625/2097152
6164513353125/33554432 4864990846875/33554432 512695284375/16777216 4538310665625/33554432
2482121878125/8388608 -2730663853125/33554432 2632289859375/33554432 4121020659375/33554432
3606890634375/16777216 -285895846875/4194304 4304544046875/16777216 -7488190828125/33554432
3872097628125/16777216 -3108226021875/33554432 -9684250809375/33554432 5069442796875/33554432
123749446875/524288 4082815546875/33554432 1160944715625/4194304 -145161028125/524288
2699059378125/16777216 -1362888890625/8388608 7391116846875/33554432 784683309375/33554432
-6895381921875/33554432 -3057559884375/33554432 -2279453503125/16777216 1555422103125/33554432
-962697309375/16777216 179461734375/33554432 -8767979728125/33554432 857812003125/4194304
-7536260821875/33554432 247702415625/2097152 -188721778125/2097152 427826671875/16777216
-6332046384375/33554432 -7407887109375/33554432 -5531078840625/33554432 2810064965625/16777216
4253865928125/16777216 -4750334784375/16777216 6313459978125/33554432 -1896546459375/8388608
572037271875/33554432 -1207739315625/16777216 274571128125/8388608 1093347365625/8388608
-3443509359375/16777216 -40356946875/262144 722431771875/4194304 -124610634375/16777216
121368853125/33554432 4912288659375/33554432 -581747671875/33554432 -1950641728125/33554432
-1206149840625/33554432 -4827906290625/33554432 -1074410409375/8388608 -25493259375/262144
-2437473028125/33554432 -2538370396875/16777216 -8733982078125/33554432 -9642920878125/33554432
4014723009375/33554432 -1510583034375/33554432 7386697565625/33554432 669719653125/33554432
-58059375/65536 -2701113215625/16777216 2232754021875/33554432 6628821628125/33554432
-1733947809375/16777216 -67797703125/4194304 -1110827653125/33554432 3403078396875/33554432
-7851384375/65536 267148040625/4194304 6838774340625/33554432 -1701903103125/8388608
-3881771428125/16777216 -2114868871875/16777216 -672123196875/4194304 -888013509375/4194304
-4567621415625/16777216 -540605203125/2097152 -2502210496875/8388608 1067017771875/4194304
-3850556765625/33554432 82595446875/2097152 4468184165625/16777216 -176525165625/33554432
404161153125/4194304 -1398195271875/8388608 -8422070090625/33554432 -1082226346875/16777216
-1868698190625/16777216 261930590625/16777216 60504759375/4194304 -7837842365625/33554432
1329275090625/8388608 7203237178125/33554432 528512521875/4194304 4808710209375/16777216
-8214649940625/33554432 2033806621875/33554432 5675497265625/33554432 -1395909909375/16777216
8275500665625/33554432 1386355434375/16777216 -28569121875/262144 -4667823478125/16777216
10064182546875/33554432 -4737086690625/33554432 4056052303125/33554432 -6157277746875/33554432
-2900856759375/33554432 9554013759375/33554432 237843046875/8388608 272963934375/2097152
-4559277796875/33554432 6525122878125/33554432 -6143627090625/33554432 92167903125/8388608
-635846765625/8388608 401576728125/16777216 499887534375/4194304 -1771211371875/16777216
-1457265328125/33554432 -2052824428125/8388608 -1052989696875/16777216 274400090625/8388608
-409165359375/4194304 -3421838971875/16777216 1436841646875/16777216 -8463635334375/33554432
-776553234375/8388608 3007836909375/33554432 197621915625/33554432 403315378125/33554432
-7279013840625/33554432 -9984433415625/33554432 -1308307959375/8388608 2030085271875/16777216
-304511859375/16777216 8700384590625/33554432 4859587453125/16777216 1623442790625/33554432
8519556309375/33554432 7611025790625/33554432 847813659375/16777216 9437212621875/33554432
-4756150715625/16777216 754668234375/16777216 -1918672715625/16777216 -7830523453125/33554432
949773665625/4194304 -244908928125/2097152 1953530784375/33554432 -7489476553125/33554432
-1184850196875/8388608 102591984375/8388608 2893389478125/16777216 1066889409375/16777216
-2073694190625/16777216 -1723986084375/16777216 -2154580865625/8388608 3647709721875/16777216
3700640784375/33554432 261235715625/8388608 760440515625/16777216 6360676171875/33554432
-537190059375/4194304 -1702976784375/33554432 569514571875/4194304 -3682349728125/16777216
1994437040625/16777216 3062061328125/16777216 -3977644828125/33554432 9531778115625/33554432
-2043127903125/8388608 4411896721875/33554432 -3318199996875/16777216 -3297581615625/33554432
-4560897234375/16777216 -145568203125/1048576 -140588296875/16777216 -6190204921875/33554432
-2818682578125/16777216 -9309009721875/33554432 1018697371875/33554432 1089533503125/16777216
5569117003125/33554432 1869674690625/8388608 7807946953125/33554432 -5757221878125/33554432
6498993571875/33554432 418584684375/33554432 -389000803125/16777216 1937213596875/33554432
-1184871140625/8388608 -6237606328125/33554432 -272790084375/8388608 -1247446171875/4194304
-2991986465625/33554432 1842044821875/16777216 -8167738678125/33554432 4871236434375/33554432
-7710323615625/33554432 -9505496878125/33554432 -5680542740625/33554432 -662099953125/16777216
1279473815625/8388608 55877540625/4194304 -1339417190625/16777216 -1388792390625/16777216
8848339546875/33554432 -7695507084375/33554432 2363865871875/8388608 2486669765625/33554432
-2935761196875/33554432 -576610753125/16777216 -3918992521875/33554432 3606871753125/33554432
5336035884375/33554432 -15739284375/33554432 -2245943540625/8388608 -5240390353125/33554432
-1990775371875/8388608 -3902843540625/16777216 -733708453125/8388608 -2660223984375/16777216
167995021875/1048576 1958843446875/33554432 -902945240625/16777216 1016860303125/16777216
-7961282053125/33554432 -2682173878125/33554432 517239121875/8388608 -519914128125/33554432
800609503125/4194304 -2369814571875/8388608 535404871875/2097152 -1627565625/33554432
-1544867221875/16777216 -620949440625/2097152 -1292373103125/16777216 -2511383803125/33554432
-8279506959375/33554432 1514550778125/8388608 -353751553125/16777216 -2438471709375/33554432
-5109766565625/33554432 -1972887496875/16777216 3214629046875/16777216 -2912094946875/33554432
-186503259375/2097152 -754441078125/33554432 -2698616559375/16777216 6480115171875/33554432
6154930790625/33554432 -3595841503125/16777216 -831516028125/16777216 -2892668428125/16777216
2574084121875/33554432 2545460484375/33554432 -7783515384375/33554432 -1597622615625/33554432
1691416359375/33554432 -4191419128125/33554432 -1399068253125/16777216 -1707052415625/16777216
-550842496875/8388608 -3020470565625/33554432 -1632465590625/16777216 1950319265625/33554432
4361530059375/16777216 -3571621546875/33554432 -3518722490625/33554432 -26695340625/1048576
