3200
26921559375/2097152 600577188125/2097152 -66228039375/1048576 100323426875/1048576
101576808125/2097152 -546367775625/2097152 -87967183125/1048576 136610583125/524288
52673361875/524288 25383178125/262144 -32674880625/2097152 -161360986875/2097152
-439608043125/2097152 542357856875/2097152 -90911323125/524288 -14807670625/262144
-30742165625/2097152 289282349375/1048576 -236773040625/1048576 108851044375/524288
654021815625/2097152 -255430404375/1048576 56485929375/1048576 -123551216875/2097152
-49671749375/262144 486326875/524288 163156246875/1048576 -253125150625/1048576
-66133503125/262144 -66764913125/524288 230373713125/1048576 255932455625/1048576
-10128994375/524288 323645094375/2097152 -239931673125/2097152 110180625/524288
-153841249375/524288 43761343125/2097152 -429574420625/2097152 -296363984375/1048576
360035039375/2097152 -1067780625/262144 16846923125/131072 -159511434375/1048576
-262302705625/2097152 -71206734375/1048576 455785681875/2097152 -513118803125/2097152
-472885843125/2097152 -256053021875/1048576 70820826875/1048576 -5294721875/524288
292238491875/1048576 177956139375/2097152 -163132609375/2097152 -499826766875/2097152
-26811174375/131072 -390559135625/2097152 17449453125/131072 -668065236875/2097152
80861664375/1048576 -391774639375/2097152 498277238125/2097152 381031618125/2097152
90121810625/2097152 -385080433125/2097152 -191335071875/2097152 64595321875/262144
245394353125/2097152 131795579375/2097152 -4749978125/131072 92905398125/524288
2925309375/2097152 -32640971875/1048576 138484133125/524288 -459774993125/2097152
-106535753125/524288 -89402226875/1048576 -391205820625/2097152 264848708125/2097152
32464119375/131072 655581423125/2097152 -7535341875/262144 157407684375/1048576
311169045625/1048576 22516143125/131072 485109419375/2097152 -411221211875/2097152
-383809738125/2097152 -242418985625/2097152 260247530625/2097152 339120999375/2097152
-35678128125/524288 312161025625/1048576 -301987589375/1048576 314839626875/2097152
-116434490625/2097152 -298941221875/1048576 240548629375/1048576 54214493125/2097152
267597140625/2097152 -63297524375/1048576 74062284375/2097152 -250251644375/1048576
-123221719375/524288 137911779375/524288 50328479375/524288 588588526875/2097152
16646271875/262144 -364076476875/2097152 -32010350625/2097152 -186454216875/2097152
-184204940625/2097152 -70673390625/524288 -364207235625/2097152 -116023094375/2097152
-355968851875/2097152 68495726875/1048576 -308474213125/1048576 -163040269375/524288
166089384375/1048576 296234885625/1048576 -203851836875/2097152 -325572505625/1048576
289896789375/2097152 58128745625/2097152 558866724375/2097152 -149935118125/524288
247924375/1024 -126081471875/1048576 -74401708125/1048576 13076909375/2097152
-136298285625/524288 9083021875/1048576 -632592106875/2097152 -25288405625/131072
-399176243125/2097152 47016818125/1048576 -12065305625/262144 -12699941875/1048576
-85959395625/524288 -109914786875/1048576 -226226960625/1048576 511696329375/2097152
362814923125/2097152 -337138900625/2097152 -413980894375/2097152 -49510236875/1048576
467298783125/2097152 -34307915625/262144 67813778125/2097152 -18739763125/65536
-151861226875/1048576 -37552175625/262144 -305987775625/1048576 -397109149375/2097152
-341826061875/2097152 -63211036875/2097152 5816556875/262144 -3883331875/2097152
-301076663125/2097152 -2987176875/2097152 -128109298125/1048576 506273155625/2097152
-8530936875/65536 123086133125/1048576 98894384375/2097152 24287006875/524288
-20591853125/1048576 69878896875/262144 247577051875/1048576 639676854375/2097152
237936108125/2097152 220471093125/1048576 -128600940625/524288 -213279260625/1048576
543998408125/2097152 52265354375/1048576 -23511194375/1048576 -69426046875/1048576
-2355273125/262144 111810823125/524288 230788934375/2097152 254405224375/2097152
295328925625/1048576 -93451884375/1048576 109192646875/524288 134189866875/524288
-29905820625/2097152 -254296420625/1048576 -112505994375/2097152 294247221875/1048576
-8649459375/65536 232091245625/1048576 -57181603125/2097152 306879244375/1048576
35460788125/262144 9520028125/524288 65321003125/262144 25941513125/262144
-288696425625/2097152 66315761875/2097152 -420396370625/2097152 -242470711875/1048576
203005205625/2097152 -311197804375/2097152 88721200625/1048576 -260592566875/2097152
616596325625/2097152 -511953154375/2097152 548305791875/2097152 -93657644375/524288
-266528305625/1048576 522348718125/2097152 537366086875/2097152 166058044375/1048576
268332216875/2097152 116825514375/1048576 72523059375/2097152 40369909375/524288
463840110625/2097152 -85083770625/1048576 -166275023125/2097152 -241602006875/1048576
-501891333125/2097152 -333707625625/2097152 384519523125/2097152 140545443125/2097152
-222243400625/2097152 -660178503125/2097152 -368645091875/2097152 254056719375/1048576
-60992721875/524288 213348926875/2097152 -257412446875/2097152 -444305693125/2097152
-222912054375/1048576 184497529375/2097152 -39234141875/1048576 -67127325625/2097152
-211691339375/2097152 74350031875/524288 -152681213125/1048576 -63941376875/2097152
634469108125/2097152 -50740383125/262144 626303346875/2097152 272320143125/2097152
-249369476875/1048576 -73071540625/2097152 -269362230625/2097152 -224659900625/2097152
230735529375/1048576 602769600625/2097152 -26384469375/1048576 -152356736875/524288
12750545625/131072 -42452735625/2097152 -15953764375/131072 -299987144375/2097152
146555536875/2097152 -7450144375/2097152 43949008125/524288 -191271546875/1048576
88301204375/1048576 627032263125/2097152 151346990625/2097152 342228368125/2097152
-172558860625/2097152 296796341875/1048576 -56623749375/524288 201398055625/2097152
80413844375/1048576 486434249375/2097152 -1244013125/4096 -71142016875/524288
384718210625/2097152 -20656750625/524288 -83642386875/2097152 505333064375/2097152
-972939375/262144 -45314240625/524288 -547001128125/2097152 -227629956875/2097152
12844378125/131072 40439256875/1048576 3572103125/1048576 336887870625/2097152
246657608125/2097152 593125348125/2097152 334628326875/1048576 -204715510625/1048576
-92591329375/2097152 192585445625/2097152 -97583210625/2097152 19079716875/262144
632293303125/2097152 -56611611875/262144 10084984375/65536 35613525625/2097152
412583293125/2097152 -506267086875/2097152 590557716875/2097152 -33865389375/262144
-408561469375/2097152 -13714154375/65536 275418168125/1048576 14532383125/1048576
5327245625/65536 -619716231875/2097152 -640165540625/2097152 652848604375/2097152
540976376875/2097152 670679355625/2097152 -83596230625/262144 -487371660625/2097152
16088256875/524288 -119556893125/1048576 -586971540625/2097152 414341073125/2097152
-395090000625/2097152 -412543191875/2097152 -287906275625/2097152 -97559494375/2097152
300956688125/2097152 101388000625/2097152 405671325625/2097152 585789713125/2097152
