800
-331668034375/8388608 -152835866875/4194304 -40024068125/524288 125153764375/4194304
22386981875/1048576 -33026728125/2097152 29162866875/8388608 -120004693125/8388608
-268897553125/4194304 219809933125/8388608 -16410446875/1048576 -138609034375/2097152
374109748125/8388608 120801771875/2097152 585808284375/8388608 -155480874375/2097152
177316755625/4194304 -189555080625/4194304 323206711875/4194304 -497715214375/8388608
-130080173125/4194304 -587388891875/8388608 -433768581875/8388608 -124056935625/8388608
434379549375/8388608 655405555625/8388608 297775741875/4194304 -3728011875/1048576
-1446833125/524288 -129159948125/4194304 37592945625/2097152 -215106803125/4194304
133528136875/8388608 -292392721875/4194304 -423146153125/8388608 148066321875/8388608
-506797051875/8388608 -373735338125/8388608 91297880625/4194304 -379867146875/8388608
-502042354375/8388608 9576186875/524288 -70042143125/4194304 479692651875/8388608
-174372109375/8388608 622543011875/8388608 246111911875/4194304 -163768585625/8388608
79216396875/4194304 164074191875/8388608 -15616048125/524288 604492919375/8388608
-277444305625/8388608 14129259375/1048576 -53210614375/4194304 251036296875/4194304
537640368125/8388608 28766183125/4194304 135681440625/8388608 -40966246875/4194304
-130803691875/8388608 315204323125/4194304 422703919375/8388608 1258604375/65536
92540410625/4194304 63271246875/2097152 -160391176875/2097152 -530123861875/8388608
66781751875/8388608 -254251284375/8388608 128072058125/2097152 -308317021875/8388608
-131715443125/2097152 481304240625/8388608 -274331018125/4194304 142048819375/8388608
466106501875/8388608 -271711463125/4194304 490585304375/8388608 48392179375/2097152
647575529375/8388608 -11572194375/524288 175792598125/8388608 -308603554375/4194304
220316056875/8388608 37776230625/1048576 -521101984375/8388608 -326975540625/8388608
209266760625/8388608 -70139265625/8388608 18371770625/2097152 -365003076875/8388608
-70776160625/1048576 228665049375/8388608 349764475625/8388608 -605121026875/8388608
360187818125/8388608 -5437620625/1048576 20117469375/8388608 -509254144375/8388608
516422740625/8388608 403770639375/8388608 37880341875/524288 -5055123125/524288
120320294375/4194304 277416120625/8388608 -105430001875/8388608 348256828125/8388608
-116697089375/2097152 107963219375/2097152 366359358125/8388608 -53554176875/8388608
211611278125/8388608 311106434375/8388608 -245204200625/8388608 321596423125/8388608
124122274375/2097152 470433053125/8388608 22699258125/2097152 271300911875/8388608
120553558125/4194304 -245636010625/4194304 74635819375/1048576 642748836875/8388608
-212225955625/4194304 -545358675625/8388608 136575980625/2097152 -154886816875/2097152
-136981189375/2097152 452618915625/8388608 133563759375/4194304 72334524375/8388608
-83263819375/8388608 -73774568125/1048576 -244222010625/4194304 -328994146875/4194304
-336128298125/8388608 114306408125/2097152 -219893665625/8388608 16581086875/4194304
-69373703125/2097152 -11341318125/1048576 67898621875/8388608 217895703125/4194304
407021881875/8388608 -610470574375/8388608 540289803125/8388608 224969539375/4194304
4667264375/131072 -22343780625/524288 663474706875/8388608 53417655625/8388608
186921236875/4194304 15743460625/4194304 -297792113125/4194304 -53375006875/2097152
592179896875/8388608 650576278125/8388608 2946881875/2097152 -76728918125/8388608
-60354003125/1048576 103523465625/2097152 -341709863125/8388608 604638029375/8388608
-529003361875/8388608 324629673125/4194304 595126279375/8388608 59124121875/1048576
-413295305625/8388608 -105219424375/8388608 51405136875/8388608 194222166875/8388608
157164646875/4194304 6697136875/131072 -21000700625/2097152 537289531875/8388608
268145996875/4194304 195810498125/4194304 618922193125/8388608 14897268125/524288
89517720625/8388608 -400688104375/8388608 554841146875/8388608 -488093993125/8388608
27099163125/524288 -247810120625/8388608 17638538125/1048576 519932365625/8388608
-291972895625/8388608 -530407315625/8388608 -33727999375/524288 299874008125/4194304
-52787464375/4194304 -581847764375/8388608 392143894375/8388608 406086475625/8388608
392710848125/8388608 49068714375/8388608 110707561875/4194304 395960323125/8388608
-75900026875/8388608 105576245625/2097152 516335383125/8388608 -329436879375/8388608
-91331444375/4194304 -579687079375/8388608 -267930051875/8388608 -308750991875/4194304
-256715718125/4194304 -598909555625/8388608 179551086875/8388608 -584960778125/8388608
23621990625/4194304 -34258311875/4194304 -32308761875/1048576 -14221489375/262144
350807885625/8388608 -252207590625/4194304 443757484375/8388608 -160015779375/8388608
-16174199375/4194304 412396059375/8388608 68300061875/4194304 345449204375/8388608
29881548125/524288 -7713969375/131072 62213235625/8388608 485934531875/8388608
-396771054375/8388608 143563295625/4194304 130171649375/2097152 -303080165625/8388608
376147636875/8388608 -333574728125/8388608 325857135625/8388608 325049085625/4194304
102128391875/2097152 -28059333125/1048576 100231875/131072 452256551875/8388608
-27094069375/524288 421985908125/8388608 52911271875/1048576 -583314488125/8388608
11362861875/1048576 254441853125/8388608 492426513125/8388608 373748091875/8388608
395046138125/8388608 -217780170625/8388608 116164546875/4194304 538412781875/8388608
236601871875/8388608 213760795625/8388608 183531775625/4194304 -82305791875/2097152
173195580625/8388608 -517993844375/8388608 217265916875/8388608 32292183125/2097152
9819200625/524288 366392333125/8388608 26489401875/1048576 -107388080625/8388608
569990681875/8388608 12082260625/2097152 2293468125/1048576 -191509296875/8388608
105330800625/4194304 613338003125/8388608 -155006280625/4194304 -373418290625/8388608
-139112473125/2097152 -157224560625/4194304 275766239375/4194304 -594427421875/8388608
-234240241875/4194304 15778739375/262144 -270464895625/8388608 301066165625/8388608
-15905608125/2097152 302931756875/8388608 -515154119375/8388608 -32462185625/524288
101168584375/8388608 -279527224375/8388608 -251255176875/4194304 -635525550625/8388608
-58899938125/1048576 -101248266875/8388608 173979885625/8388608 -85750608125/4194304
-43266735625/2097152 -620272286875/8388608 -72677138125/8388608 11322216875/4194304
-167215573125/4194304 -43036866875/4194304 -99847788125/2097152 -434931988125/8388608
507943906875/8388608 579014383125/8388608 29920833125/524288 160116345625/8388608
-395723804375/8388608 -71007125625/8388608 226031551875/8388608 -594895639375/8388608
360081829375/8388608 -609839464375/8388608 40370404375/524288 -148222986875/8388608
52991773125/1048576 80858629375/2097152 -249302800625/8388608 629849351875/8388608
398378739375/8388608 -450654574375/8388608 429520010625/8388608 -569276671875/8388608
352126473125/8388608 -42514526875/4194304 -67984760625/4194304 -224259886875/4194304
339331948125/8388608 363989899375/8388608 -150772294375/4194304 -213814354375/8388608
-176913713125/4194304 254298321875/8388608 -220205836875/8388608 40824485625/524288
107388451875/2097152 53367420625/2097152 -540076423125/8388608 566785241875/8388608
138955486875/2097152 14015896875/4194304 305446136875/4194304 -305737686875/4194304
109478894375/2097152 -122921563125/8388608 -224826039375/8388608 635697038125/8388608
-92887328125/4194304 -127902306875/2097152 -52213276875/4194304 552028125/8192
531116056875/8388608 -104538938125/2097152 646501713125/8388608 -262043864375/4194304
52388653125/8388608 -31627903125/2097152 -214613189375/4194304 33123749375/4194304
101421494375/8388608 65874021875/8388608 -61809284375/2097152 -437710961875/8388608
286909874375/4194304 64275035625/4194304 133395288125/4194304 120383001875/2097152
36589299375/4194304 176032591875/8388608 79449169375/4194304 34231711875/8388608
120477469375/4194304 145029655625/4194304 -8142853125/1048576 -290116449375/8388608
-195562509375/8388608 82910016875/4194304 -17944216875/262144 -20505029375/2097152
143999176875/2097152 389651760625/8388608 -275834069375/4194304 -184283540625/4194304
389577208125/8388608 -457294564375/8388608 112059414375/4194304 119053066875/4194304
2044360625/32768 -562107699375/8388608 493235105625/8388608 -105208199375/8388608
-216848574375/4194304 -309006646875/8388608 151154110625/2097152 -196703648125/8388608
78265699375/8388608 295824004375/4194304 -18654739375/524288 37229634375/2097152
153831845625/2097152 666820941875/8388608 404261530625/8388608 544360284375/8388608
119928028125/4194304 -72758851875/8388608 -546431730625/8388608 326002545625/8388608
-74967095625/1048576 -78332559375/2097152 -469302869375/8388608 -94218850625/8388608
-313447471875/4194304 -70755116875/2097152 -172164715625/8388608 -388411073125/8388608
-443785399375/8388608 266608728125/8388608 -360475061875/8388608 67105546875/8388608
619567835625/8388608 -293251865625/8388608 20046111875/524288 -1021574375/65536
274891144375/8388608 -43705290625/2097152 372426020625/8388608 -329177364375/4194304
-552722430625/8388608 34879849375/4194304 -34537728125/8388608 -158025329375/4194304
36283163125/2097152 -241185723125/4194304 127101150625/2097152 -186423268125/4194304
-114200413125/2097152 -115426885625/4194304 133982849375/4194304 30945859375/4194304
-67827279375/2097152 -245116960625/8388608 -12026096875/1048576 -2289238125/4194304
-163536170625/4194304 162814271875/4194304 -86051821875/4194304 -37881614375/2097152
259806705625/4194304 141802125625/2097152 -530307256875/8388608 -278159238125/4194304
250534524375/8388608 -129547791875/4194304 61915358125/4194304 -319325074375/4194304
-42227381875/8388608 -652051934375/8388608 -24804684375/524288 -198418966875/4194304
396017694375/8388608 -148107338125/2097152 -290144896875/4194304 267914434375/4194304
130778570625/2097152 -79478616875/2097152 35554009375/1048576 -461466219375/8388608
15189946875/2097152 105848558125/2097152 120430846875/8388608 640239499375/8388608
-28528423125/8388608 -586468525625/8388608 -147118084375/4194304 262648790625/4194304
277047319375/8388608 -25153156875/524288 -208699141875/4194304 -597133595625/8388608
6044788125/524288 -134907085625/4194304 666274250625/8388608 -62312020625/8388608
-74581069375/1048576 -116788733125/8388608 255994391875/8388608 412683864375/8388608
190365691875/4194304 633767369375/8388608 -339436813125/8388608 651406236875/8388608
-212227555625/4194304 -34747141875/8388608 100485175625/8388608 -357092055625/8388608
424283838125/8388608 121615525625/8388608 123672101875/4194304 63805856875/2097152
463790770625/8388608 487140109375/8388608 -282769589375/4194304 511200981875/8388608
63683303125/4194304 -498665835625/8388608 -521129871875/8388608 256612214375/4194304
9855986875/8388608 -48020140625/8388608 451038280625/8388608 118645739375/8388608
97226036875/4194304 -446278839375/8388608 -249461133125/8388608 -17499195625/2097152
36976279375/2097152 56118568125/2097152 258983671875/4194304 -79567764375/1048576
-236900394375/4194304 54075438125/4194304 465925626875/8388608 559781396875/8388608
-105177730625/4194304 -167035294375/2097152 3411856875/262144 -468220968125/8388608
257683561875/4194304 -23489829375/524288 193764615625/4194304 23339794375/524288
-41497960625/1048576 49224031875/8388608 85463865625/4194304 -129779969375/8388608
-69596243125/2097152 -111523331875/8388608 -49054589375/2097152 616712586875/8388608
-296623138125/4194304 337242006875/8388608 16197000625/2097152 458553941875/8388608
105332885625/4194304 -233946323125/4194304 -537236181875/8388608 -355754026875/8388608
-204754106875/8388608 -184079799375/8388608 -655257398125/8388608 -463685625/32768
38494144375/1048576 3002390625/131072 -5335124375/1048576 -12969940625/2097152
1476835625/1048576 -661948323125/8388608 -295175505625/8388608 -630500344375/8388608
33375900625/524288 318624990625/8388608 -178474748125/8388608 457233124375/8388608
475340195625/8388608 130165394375/4194304 -82806414375/1048576 447833940625/8388608
2985325625/262144 80993660625/8388608 464822633125/8388608 -5945300625/2097152
-297431045625/8388608 -26205533125/2097152 -19378045625/4194304 -117079809375/2097152
-116262043125/4194304 -410165163125/8388608 -308550035625/4194304 84674504375/2097152
-234014159375/4194304 348878551875/8388608 -497626065625/8388608 -1176866875/32768
-281553008125/4194304 -260126103125/8388608 590026575625/8388608 -250815574375/4194304
153670189375/2097152 -171061765625/8388608 509818749375/8388608 -467466895625/8388608
-633302774375/8388608 86188006875/4194304 -265521686875/4194304 43669105625/1048576
-24280833125/524288 451842141875/8388608 -399424849375/8388608 545347384375/8388608
-459082050625/8388608 -606819776875/8388608 42776911875/4194304 -336391814375/8388608
-246251205625/8388608 61072518125/2097152 -670212579375/8388608 -221561076875/4194304
247912191875/4194304 -384478894375/8388608 -491272838125/8388608 1747420625/131072
43252000625/4194304 -37357650625/1048576 -46019915625/4194304 -50038674375/8388608
122380288125/8388608 528212439375/8388608 -26161745625/4194304 18144421875/1048576
-272353125/262144 25961060625/8388608 284859126875/8388608 107689618125/8388608
-25021348125/4194304 -248702930625/4194304 359886881875/8388608 31821224375/4194304
-33268071875/524288 625329015625/8388608 268044596875/4194304 -42462325625/1048576
-4373936875/65536 25677860625/8388608 -5052086875/4194304 -475840698125/8388608
-421689500625/8388608 91669458125/8388608 -134775821875/2097152 -267225278125/8388608
-107007719375/2097152 -183128904375/8388608 -25004910625/1048576 -167148636875/2097152
-482608613125/8388608 -1513455625/65536 138787748125/8388608 -73075148125/2097152
225998913125/8388608 -81164405625/4194304 -152890129375/8388608 -49790070625/1048576
92398170625/4194304 -253415688125/4194304 192744720625/4194304 444960528125/8388608
474677451875/8388608 67091111875/8388608 429281851875/8388608 -281667123125/4194304
-575324533125/8388608 161667846875/4194304 -91596070625/2097152 157419734375/4194304
-317825238125/8388608 372504355625/8388608 -315497641875/4194304 -66270031875/8388608
68897391875/8388608 260559544375/8388608 131665854375/4194304 350814780625/8388608
-230596460625/4194304 221465879375/8388608 -481133599375/8388608 -2573223125/4194304
409748320625/8388608 -586691048125/8388608 -454375826875/8388608 -665569266875/8388608
150989210625/4194304 9753895625/524288 118561550625/2097152 5714369375/524288
-142942099375/4194304 -125714436875/2097152 -95004755625/2097152 -151614598125/4194304
-198632061875/8388608 -91209544375/2097152 -112170225625/8388608 -15246803125/524288
-29773969375/2097152 -42476148125/8388608 -143601085625/2097152 -77020205625/4194304
587584659375/8388608 266555969375/4194304 70985086875/4194304 98593680625/8388608
-159831926875/8388608 -478520113125/8388608 473823244375/8388608 -111110448125/4194304
515641160625/8388608 -165346321875/4194304 551838425625/8388608 -18696646875/2097152
62499158125/4194304 -64970546875/1048576 188098119375/4194304 152380874375/4194304
334037043125/4194304 23452760625/1048576 45344138125/8388608 -51566905625/8388608
300956431875/4194304 566501166875/8388608 -12837031875/524288 76252516875/4194304
-22601689375/1048576 -57122725625/1048576 -28440505625/4194304 -125735750625/2097152
-123093125625/2097152 -101252689375/8388608 147683986875/8388608 298530405625/4194304
93146381875/8388608 -22659456875/1048576 -132337829375/4194304 534590413125/8388608
-6255528125/524288 42231114375/4194304 157758543125/8388608 22748685625/1048576
246784780625/8388608 355164388125/8388608 124260848125/8388608 309577833125/8388608
409370133125/8388608 -246236623125/8388608 467647311875/8388608 -20326279375/1048576
478608239375/8388608 -34367419375/1048576 289859303125/8388608 -131320416875/8388608
202677090625/4194304 79888956875/4194304 71029940625/4194304 609819810625/8388608
-315786866875/8388608 158855650625/2097152 -371589003125/8388608 -56542021875/2097152
8746004375/131072 158534515625/4194304 214344254375/4194304 144797643125/4194304
-183230050625/8388608 5982506875/2097152 -566399236875/8388608 -518606578125/8388608
-12886116875/8388608 555581538125/8388608 133116454375/8388608 -86458656875/2097152
68910940625/1048576 -172560906875/8388608 -194362280625/4194304 76813804375/1048576
-568573219375/8388608 117736339375/8388608 -8420986875/2097152 -120138230625/4194304
58598094375/2097152 -472228053125/8388608 100858386875/4194304 -363111405625/8388608
277353205625/8388608 -566571320625/8388608 5241716875/65536 219875578125/4194304
-130705401875/2097152 -127448239375/4194304 189994680625/4194304 268837285625/4194304
-92096305625/8388608 28032668125/8388608 131877459375/8388608 -185856898125/4194304
443548663125/8388608 8783520625/524288 355061803125/8388608 425334609375/8388608
-390063641875/8388608 12571039375/8388608 -614458903125/8388608 -258973744375/8388608
-434525255625/8388608 170487049375/4194304 465071615625/8388608 15188050625/4194304
-638837630625/8388608 -41653503125/8388608 135003543125/2097152 -16409583125/8388608
-23889765625/8388608 -580669034375/8388608 34509136875/8388608 -94427933125/4194304
524439476875/8388608 318458041875/4194304 476815720625/8388608 -368464296875/8388608
-597115328125/8388608 189674951875/4194304 340008603125/8388608 -294216043125/4194304
